game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2023-10-27-Michigan-State-Drake-,2023-10-27,Michigan State,Drake,false,false,1,1,home,final,,https://msuspartans.com/sports/mens-soccer/stats/2023/drake/boxscore/17286,https://godrakebulldogs.com/sports/mens-soccer/stats/2023/michigan-state/boxscore/12982,2023-10-27-Drake-Michigan-State,regular
sidearm-2023-10-27-Stony-Brook-William-&-Mary,2023-10-27,Stony Brook,William & Mary,false,false,0,0,unknown,final,,https://stonybrookathletics.com/sports/mens-soccer/stats/2023/william-mary/boxscore/11082,https://tribeathletics.com/sports/mens-soccer/stats/2023/stony-brook/boxscore/16200,2023-10-27-Stony-Brook-William-&-Mary,regular
sidearm-2023-10-27-Belmont-University-Western-Michigan,2023-10-27,Belmont University,Western Michigan,false,false,0,5,home,final,,https://belmontbruins.com/sports/mens-soccer/stats/2023/western-michigan/boxscore/5697,https://wmubroncos.com/sports/mens-soccer/stats/2023/belmont-university/boxscore/14461,2023-10-27-Belmont-University-Western-Michigan,regular
sidearm-2023-10-27-University-of-Evansville-Bradley-University,2023-10-27,University of Evansville,Bradley University,false,false,1,0,unknown,final,,https://gopurpleaces.com/sports/mens-soccer/stats/2023/bradley-university/boxscore/11345,,2023-10-27-Bradley-University-University-of-Evansville,regular
sidearm-2023-10-27-UIC-Northern-Illinois,2023-10-27,UIC,Northern Illinois,false,false,2,0,away,final,,https://uicflames.com/sports/mens-soccer/stats/2023/northern-illinois/boxscore/19893,,2023-10-27-Northern-Illinois-UIC,regular
sidearm-2023-10-27-South-Carolina-Coastal-Carolina,2023-10-27,South Carolina,Coastal Carolina,false,false,4,3,away,final,https://gamecocksonline.com/sports/msoc/schedule/2023,https://goccusports.com/sports/mens-soccer/stats/2023/south-carolina/boxscore/22182,https://gamecocksonline.com/boxscore/msoc-vs-coastal-carolina-10-27-23/,2023-10-27-Coastal-Carolina-South-Carolina,regular
sidearm-2023-10-27-James-Madison-Georgia-Southern,2023-10-27,James Madison,Georgia Southern,false,false,5,1,away,final,,https://gseagles.com/sports/mens-soccer/stats/2023/james-madison/boxscore/14144,https://jmusports.com/sports/mens-soccer/stats/2023/georgia-southern/boxscore/19410,2023-10-27-Georgia-Southern-James-Madison,regular
sidearm-2023-10-27-Georgia-State-UCF,2023-10-27,Georgia State,UCF,false,true,2,3,away,final,https://ucfknights.com/sports/mens-soccer/schedule,https://georgiastatesports.com/sports/mens-soccer/stats/2023/ucf/boxscore/8960,https://ucfknights.com/boxscore/9292,2023-10-27-Georgia-State-UCF,regular
wmtwp-2023-10-27-Kentucky-West-Virginia,2023-10-27,Kentucky,West Virginia,false,true,1,0,home,final,https://ukathletics.com/sports/msoc/schedule/2023,https://ukathletics.com/boxscore/west-virginia-4/,https://wvusports.com/sports/mens-soccer/stats/2023/kentucky/boxscore/19858,2023-10-27-Kentucky-West-Virginia,regular
sidearm-2023-10-27-Old-Dominion-Marshall,2023-10-27,Old Dominion,Marshall,false,false,0,2,away,final,https://odusports.com/sports/mens-soccer/schedule,https://herdzone.com/sports/mens-soccer/stats/2023/old-dominion/boxscore/9075,https://odusports.com/boxscore/9322,2023-10-27-Marshall-Old-Dominion,regular
