player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
clemson:robbierobinson,Robbie Robinson,Clemson,7,16,1075,17,9,81,40,0
campbell:jacquelthibaut,"Jacquel, Thibaut",Campbell,18,21,1550,18,5,59,29,0
sandiego:berrymiguel,"Berry, Miguel",San Diego,9,17,1627,15,8,71,36,0
jamesmadison:ferriolmanuel,"Ferriol,Manuel",James Madison,10,21,1673,16,4,74,30,0
washington:bodilyblake,"Bodily, Blake",Washington,98,23,1497,15,6,69,36,0
njit:whiterene,"White, Rene",NJIT,9,19,1324,17,2,49,28,0
smu:mclaughlingarrett,"McLaughlin, Garrett",SMU,7,21,1652,15,5,72,40,0
bellarmine:bernedotomas,"Bernedo, Tomas",Bellarmine,9,20,1388,14,7,66,35,0
missouristate:bentleymatthew,"Bentley, Matthew",Missouri State,09,20,1423,15,4,34,20,0
mercer:martineautrevor,"Martineau, Trevor",Mercer,9,19,1374,12,10,51,26,0
saintmarys:engebretsenanders,"Engebretsen, Anders",Saint Mary's,11,17,1252,13,8,55,25,0
dayton:fjeldbergjonas,"Fjeldberg, Jonas",Dayton,14,21,1683,12,9,90,47,0
wrightstate:corfederi,"CORFE, Deri",Wright State,11,20,1592,13,7,89,40,0
ucf:jenningscal,"Jennings, Cal",UCF,3,17,1360,15,3,51,26,0
northernkentucky:greivealex,"Greive, Alex",Northern Kentucky,7,13,1085,15,3,63,33,0
smu:munjomaeddie,"Munjoma, Eddie",SMU,12,21,1856,12,8,45,18,0
georgiastate:briggsaris,"Briggs,Aris",Georgia State,31,19,1407,15,1,54,29,0
syracuse:raposoryan,"Raposo, Ryan",Syracuse,10,16,1403,12,7,43,26,0
airforce:tragertristan,"Trager, Tristan",Air Force,10,18,1165,13,4,39,26,0
smu:costagabriel,"Costa, Gabriel",SMU,11,18,1367,9,11,53,23,0
clemson:graysonbarber,Grayson Barber,Clemson,11,18,1231,10,9,45,22,0
hofstra:vowinkelmatthew,"Vowinkel, Matthew",Hofstra,21,18,1430,13,2,42,21,0
marshall:yosefmilo,"Yosef, Milo",Marshall,7,22,1786,12,3,58,27,0
stjohns:oluwaseyitani,"Oluwaseyi, Tani",St. John's,14,20,1340,11,5,65,36,0
utahvalley:frischknechtblake,"Frischknecht, Blake",Utah Valley,9,19,1303,13,1,85,42,0
dayton:adjeikingsford,"Adjei, Kingsford",Dayton,11,13,1078,11,5,56,19,0
uncwilmington:goodrumphillip,"Goodrum, Phillip",UNC Wilmington,10,19,1589,11,4,54,25,0
marshall:robertsjamil,"Roberts, Jamil",Marshall,11,21,1389,8,10,45,22,0
bellarmine:linscottmicah,"Linscott, Micah",Bellarmine,10,20,1323,9,8,46,25,0
oralroberts:berryreed,"Berry, Reed",Oral Roberts,9,17,1086,11,4,36,23,0
mercyhurst:wilkinsonconnor,"Wilkinson, Connor",Mercyhurst,10,14,1084,10,6,47,24,0
duke:team,TEAM,Duke,TM,13,45,13,0,160,61,0
ucsantabarbara:baynhamwill,"Baynham, Will",UC Santa Barbara,20,24,1999,9,7,40,25,0
seattle:mcglynndeclan,"McGlynn, Declan",Seattle,22,21,1815,9,7,70,29,0
smu:ahlanderknut,"Ahlander, Knut",SMU,10,21,1626,6,13,55,20,0
saintpeters:lawsdominic,"Laws, Dominic",Saint Peter's,11,16,1439,10,5,64,30,0
memphis:ashtonsam,"Ashton, Sam",Memphis,24,16,921,11,3,24,17,0
michigan:popovicnebojsa,"Popovic, Nebojsa",Michigan,33,22,1738,10,4,52,28,0
pennstate:molloyaaron,"MOLLOY, AARON",Penn State,8,19,1723,9,6,58,21,0
uic:hazutbar,"Hazut,Bar",UIC,9,15,1123,10,4,51,28,0
oralroberts:brigidadante,"Brigida, Dante",Oral Roberts,12,17,1036,11,2,44,23,0
ucsantabarbara:michaelrodney,"Michael, Rodney",UC Santa Barbara,10,23,1894,8,7,61,22,0
wakeforest:lapabruno,"Lapa, Bruno",Wake Forest,10,23,1721,10,3,48,25,0
charlotte:chaoucheteddy,"Chaouche, Teddy",Charlotte,13,19,1708,7,9,35,22,0
yale:winhoffermark,"Winhoffer, Mark",Yale,10,18,1550,6,11,35,19,0
iona:bravomauro,"Bravo, Mauro",Iona,8,18,1474,10,3,63,24,0
belmontuniversity:dagnoniniccolo,"Dagnoni, Niccolo",Belmont University,10,18,1351,8,7,49,28,0
lemoynecollege:rohrhirschrobert,"Rohrhirsch, Robert",Le Moyne College,15,17,1326,9,5,69,29,0
saintmarys:restanijoseph,"Restani, Joseph",Saint Mary's,9,17,1124,10,3,32,16,0
centralarkansas:brodackiniklas,"Brodacki, Niklas",Central Arkansas,9,13,1045,10,3,31,19,0
clemson:kimarnismith,Kimarni Smith,Clemson,9,17,1019,9,5,37,20,0
ucsandiego:jonesbrett,"Jones, Brett",UC San Diego,10,14,832,11,1,42,21,0
gardnerwebb:wangoskar,"Wang, Oskar",Gardner-Webb,10,19,1699,8,6,40,17,0
unlv:mehlichtimo,"Mehlich, Timo",UNLV,8,17,1503,11,0,60,27,0
saintpeters:jowersjordan,"Jowers, Jordan",Saint Peter's,7,16,1472,8,6,49,21,0
butler:guhlbrandon,"Guhl, Brandon",Butler,11,18,1273,9,4,30,16,0
butler:cabrerajrwilmer,"Cabrera, Jr., Wilmer",Butler,9,21,1943,9,3,49,30,0
marist:gavilanesallen,"Gavilanes, Allen",Marist,10,18,1570,7,7,69,30,0
wrightstate:rokvicstefan,"ROKVIC, Stefan",Wright State,9,20,1533,8,5,49,21,0
calstatefullerton:pinzonchristian,"Pinzon, Christian",Cal State Fullerton,10,17,1480,7,7,55,25,0
csun:trejodaniel,"Trejo, Daniel",CSUN,10,16,1366,8,5,52,36,0
xavier:sergisamson,"SERGI, Samson",Xavier,24,16,1316,10,1,53,26,0
tulsa:partainharris,"Partain, Harris",Tulsa,19,15,1310,9,3,43,21,0
syracuse:ferrinmassimo,"Ferrin, Massimo",Syracuse,9,16,1140,7,7,37,17,0
newhampshire:colacciantonio,"Colacci, Antonio",New Hampshire,23,19,1622,6,8,30,15,0
fgcu:mullingsovonte,"Mullings, O’Vonte",FGCU,14,19,1615,9,2,37,14,0
bostoncollege:sigurdarsonstefan,"Sigurdarson, Stefan",Boston College,23,18,1471,8,4,45,19,0
lehigh:luchinijosh,"Luchini, Josh",Lehigh,19,19,1458,9,2,55,25,0
bowlinggreen:sullivanchris,"Sullivan, Chris",Bowling Green,22,16,1440,6,8,36,17,0
duquesne:busquetsmanel,"Busquets, Manel",Duquesne,10,17,1395,8,4,41,15,0
louisville:dieyecherif,"Dieye, Cherif",Louisville,12,19,1368,7,6,74,35,0
siena:riquelmealejandro,"Riquelme, Alejandro",Siena,11,17,1361,6,8,55,21,0
virginiatech:stricklerkristo,"Strickler, Kristo",Virginia Tech,15,16,1256,9,2,37,20,0
providence:davocktrevor,"Davock, Trevor",Providence,11,22,1251,6,8,54,23,0
georgetown:dodsonderek,"DODSON, Derek",Georgetown,9,18,1242,8,4,53,29,0
missouristate:dollingjosh,"Dolling, Josh",Missouri State,10,20,1671,7,5,51,27,0
duke:prochdaniele,"Proch, Daniele",Duke,9,18,1506,7,5,17,13,0
yale:yustemiguel,"Yuste, Miguel",Yale,9,18,1496,8,3,40,16,0
rhodeisland:akselsenedvin,"Akselsen, Edvin",Rhode Island,28,17,1491,4,11,46,24,0
bucknell:thorsheimmatt,"Thorsheim, Matt",Bucknell,9,20,1460,7,5,32,18,0
loyolachicago:megallyaidan,"Megally, Aidan",Loyola Chicago,19,15,1407,8,3,57,23,0
campbell:lockmatt,"Lock, Matt",Campbell,16,22,1338,6,7,19,11,0
rideruniversity:decastropablo,"DeCastro, Pablo",Rider University,7,16,1334,8,3,49,22,0
rhodeisland:tamburinifilippo,"Tamburini, Filippo",Rhode Island,11,17,1329,8,3,36,14,0
virginia:dikedaryl,"Dike, Daryl",Virginia,9,18,1328,7,5,33,14,0
njit:rabellalejandro,"Rabell, Alejandro",NJIT,13,18,1106,6,7,25,11,0
ucla:iloskimilan,"ILOSKI, MILAN",UCLA,10,12,1056,9,1,38,20,0
pennstate:buttsliam,"BUTTS, LIAM",Penn State,7,19,1025,9,1,25,14,0
quinnipiac:whelaneamon,"Whelan,Eamon",Quinnipiac,7,18,1012,9,1,52,30,0
indiana:bezerravictor,"Bezerra, Victor",Indiana,7,22,953,8,3,37,18,0
washington:meeklucas,"Meek, Lucas",Washington,33,23,873,6,7,34,17,0
providence:limapaulo,"Lima, Paulo",Providence,6,21,1834,8,2,34,17,0
marshall:dolabellapedro,"Dolabella, Pedro",Marshall,10,22,1668,7,4,31,13,0
calstatefullerton:floresoscar,"Flores, Oscar",Cal State Fullerton,7,19,1636,6,6,35,18,0
dayton:oladeinbotoluwalase,"Oladeinbo, Toluwalase",Dayton,20,21,1515,8,2,48,22,0
navy:williamsjacob,"Williams, Jacob",Navy,10,17,1368,7,4,46,26,0
columbiauniversity:denisjohn,"Denis, John",Columbia University,10,16,1309,7,4,41,18,0
georgetown:montesjacob,"MONTES, Jacob",Georgetown,7,18,1254,8,2,48,17,0
lemoynecollege:naricgoran,"Naric, Goran",Le Moyne College,8,18,1231,7,4,31,16,0
california:williamsontommy,"Williamson, Tommy",California,9,18,1205,9,0,43,20,0
ucsantabarbara:ballardmcbridefinn,"Ballard McBride, Finn",UC Santa Barbara,13,20,1187,8,2,18,11,0
highpoint:kosmidisilias,"Kosmidis, Ilias",High Point,7,14,1160,9,0,42,22,0
akron:egbodavid,"Egbo, David",Akron,9,17,1151,7,4,49,19,0
vermont:tobinskirasmus,"Tobinski, Rasmus",Vermont,9,14,1128,8,2,53,23,0
lindenwood:mcbethluke,"McBeth, Luke",Lindenwood,18,13,1100,7,4,29,16,0
pittsburgh:edwardkizza,Edward Kizza,Pittsburgh,9,12,952,8,2,37,19,0
wakeforest:holcombkyle,"Holcomb, Kyle",Wake Forest,3,23,857,9,0,26,14,0
calpoly:perezcemmanuel,"Perez (C), Emmanuel",Cal Poly,18,9,693,8,2,29,17,0
iona:plimptonjosh,"Plimpton, Josh",Iona,7,18,1494,6,5,35,11,0
oralroberts:guerineautanguy,"Guerineau, Tanguy",Oral Roberts,8,17,1464,3,11,23,10,0
marshall:westmeyerjonas,"Westmeyer, Jonas",Marshall,6,22,1403,4,9,34,13,0
denver:juddpreston,"Judd, Preston",Denver,9,21,1399,8,1,67,29,0
