player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
denver:shinyashikiandre,"Shinyashiki, Andre",Denver,9,17,1403,23,3,80,48,0
northernkentucky:willisalex,"Willis, Alex",Northern Kentucky,9,17,1485,16,7,67,39,0
lemoynecollege:faryarsalar,"Faryar, Salar",Le Moyne College,14,17,1417,15,7,59,35,0
lemoynecollege:webermarek,"Weber, Marek",Le Moyne College,11,16,1299,15,7,31,22,0
airforce:bonetucker,"Bone, Tucker",Air Force,7,22,1748,13,6,59,33,0
akron:egbodavid,"Egbo, David",Akron,9,24,1477,13,5,61,23,0
ucf:jenningscal,"Jennings, Cal",UCF,3,11,881,15,1,60,31,0
quinnipiac:whelaneamon,"Whelan, Eamon",Quinnipiac,7,18,1238,13,4,46,23,0
akron:zajacmarcel,"Zajac, Marcel",Akron,11,24,1226,11,8,42,22,0
airforce:dewingaustin,"Dewing, Austin",Air Force,3,22,1448,12,5,45,27,0
coastalcarolina:matthewsyazeed,"Matthews, Yazeed",Coastal Carolina,11,14,1033,13,3,52,20,0
army:osheakeenan,"O'Shea, Keenan",Army,9,20,1667,12,4,60,29,0
uncwilmington:goodrumphillip,"Goodrum, Phillip",UNC Wilmington,10,19,1551,12,4,64,32,0
georgiasouthern:carbonelljavier,"Carbonell, Javier",Georgia Southern,7,15,1175,13,2,54,22,0
bellarmine:linscottmicah,"Linscott, Micah",Bellarmine,14,19,1368,12,3,58,31,0
uncwilmington:elverothemil,"Elveroth, Emil",UNC Wilmington,9,19,1297,11,5,41,27,0
utrgv:edwardskyle,"Edwards, Kyle",UTRGV,9,18,1025,11,5,52,25,0
california:kadonoshinya,"Kadono, Shinya",California,11,19,1713,12,2,59,28,0
duke:prochdaniele,"Proch, Daniele",Duke,9,20,1497,11,4,65,27,0
fiu:patinosantiago,"Patino, Santiago",FIU,7,14,1135,12,2,51,23,0
pittsburgh:edwardkizza,Edward Kizza,Pittsburgh,9,14,1093,13,0,30,19,0
ucirvine:canalesivan,"Canales, Ivan",UC Irvine,10,20,1570,10,5,51,24,0
kentucky:jjwilliams,Jj Williams,Kentucky,7,15,1349,11,3,62,30,0
saintjosephs:maricleon,"Maric, Leon",Saint Joseph's,27,17,1033,12,1,31,17,0
rideruniversity:otmanielliott,"Otmani, Elliott",Rider University,9,21,1868,7,10,56,31,0
fordham:loebejanos,"Loebe, Janos",Fordham,10,16,1501,7,10,45,23,0
olddominion:wilschreymax,"Wilschrey, Max",Old Dominion,11,12,1012,10,4,36,21,0
lipscomb:paynterlogan,"Paynter, Logan",Lipscomb,22,21,1798,10,3,58,27,0
unlv:gonzalezmarco,"Gonzalez, Marco",UNLV,4,21,1779,10,3,72,29,0
xavier:hestnessimen,"Hestnes, Simen",Xavier,10,16,1464,8,7,38,20,0
purduefortwayne:lieshoutmatthew,"Lieshout, Matthew",Purdue Fort Wayne,8,17,1373,11,1,26,15,0
missouristate:dollingjosh,"Dolling, Josh",Missouri State,14,17,1372,10,3,46,25,0
csun:trejodaniel,"Trejo, Daniel",CSUN,21,14,1100,9,5,55,36,0
liberty:mbuyutresor,"Mbuyu, Tresor",Liberty,11,13,1062,10,3,49,24,0
fgcu:adamsshak,"ADAMS, Shak",FGCU,17,15,1029,8,7,29,18,0
saintmarys:rudeljake,"Rudel, Jake",Saint Mary's,15,14,909,9,5,32,16,0
wakeforest:lapabruno,"Lapa, Bruno",Wake Forest,10,14,846,8,7,30,16,0
indiana:gutmanandrew,"Gutman, Andrew",Indiana,15,17,1444,8,6,40,17,0
saintjosephs:barryritchie,"Barry, Ritchie",Saint Joseph's,14,17,1388,9,4,43,21,0
saintjosephs:dahnalvin,"Dahn, Alvin",Saint Joseph's,23,16,1168,6,10,32,14,0
portland:michelbenji,"MICHEL, Benji",Portland,19,12,1023,10,2,45,23,0
liberty:mendozakevin,"Mendoza, Kevin",Liberty,10,13,972,9,4,32,24,0
mercyhurst:tophovenhenri,"Tophoven, Henri",Mercyhurst,14,15,929,8,6,50,28,0
rutgers:halljordan,"Hall, Jordan",Rutgers,9,11,882,11,0,44,21,0
wakeforest:fernandezomir,"Fernandez, Omir",Wake Forest,16,14,878,9,4,36,22,0
californiabaptist:juddpreston,"Judd,Preston",California Baptist,11,13,874,10,2,46,24,0
wrightstate:alecphilippe,Alec Philippe,Wright State,13,9,646,9,4,23,19,0
lehigh:forrestmark,"Forrest, Mark",Lehigh,9,17,1509,8,5,59,25,0
bellarmine:bernedotomas,"Bernedo, Tomas",Bellarmine,9,19,1480,6,9,49,22,0
northernkentucky:greivealex,"Greive, Alex",Northern Kentucky,7,17,1470,5,11,37,16,0
michigan:osmanumarfarouk,"Osman, Umar Farouk",Michigan,10,15,1343,9,3,31,13,0
pacific:jimenezjonathan,"Jimenez, Jonathan",Pacific,23,15,1069,8,5,25,14,0
jamesmadison:ferriolmanuel,"Ferriol, Manuel",James Madison,10,21,1048,8,5,35,19,0
georgewashington:haynesbrownoscar,"Haynes Brown, Oscar",George Washington,14,12,669,9,3,43,28,0
stthomas:kiddwill,"Kidd, Will",St. Thomas,12,21,1721,7,6,40,20,0
vcu:hajisiad,"Haji, Siad",VCU,10,18,1571,5,10,32,14,0
oregonstate:tchilaodon,"Tchilao, Don",Oregon State,14,16,1460,6,8,46,22,0
airforce:parkerklint,"Parker, Klint",Air Force,2,22,1254,8,4,42,23,0
creighton:koenigsven,"KOENIG, Sven",Creighton,10,18,1202,10,0,62,37,0
stbonaventure:nwafornsokosi,"NWAFORNSO, Kosi",St. Bonaventure,11,15,1198,8,4,40,19,0
michiganstate:sierakowskiryan,"Sierakowski, Ryan",Michigan State,11,13,1152,8,4,32,18,0
uconn:mbackethiamabdou,"Mbacke Thiam, Abdou",UConn,11,12,1033,8,4,56,22,0
jamesmadison:jeffriscarson,"Jeffris, Carson",James Madison,8,21,940,8,4,24,14,0
rideruniversity:decastropablo,"DeCastro, Pablo",Rider University,7,21,1774,9,1,38,21,0
saintpeters:lawsdominic,"Laws, Dominic",Saint Peter's,11,19,1696,8,3,34,15,0
ucirvine:ortizjose,"Ortiz, Jose",UC Irvine,11,20,1536,8,3,57,25,0
ucsantabarbara:michaelrodney,"Michael, Rodney",UC Santa Barbara,9,19,1517,7,5,47,23,0
milwaukee:conwayevan,"Conway, Evan",Milwaukee,9,18,1351,7,5,42,21,0
michigan:hallahanjack,"Hallahan, Jack",Michigan,11,15,1338,6,7,54,22,0
utrgv:akiowilliam,"Akio, William",UTRGV,20,18,1309,5,9,47,26,0
bostoncollege:enstromsimon,"Enstrom, Simon",Boston College,9,16,1296,9,1,49,23,0
pacific:rileycamden,"Riley, Camden",Pacific,5,15,1271,7,5,29,14,0
jamesmadison:wardbaptisteaaron,"Ward-Baptiste, Aaron",James Madison,9,22,1253,7,5,40,24,0
xavier:sergisamson,"Sergi, Samson",Xavier,24,16,947,8,3,37,14,0
lindenwood:alvarezgaspar,"Alvarez, Gaspar",Lindenwood,8,16,912,9,1,28,13,0
uconn:thiamabdoumbacke,"THIAM, Abdou Mbacke",UConn,11,9,801,7,5,30,14,0
campbell:donnellyjj,"Donnelly, JJ",Campbell,14,20,1713,6,6,89,27,0
quinnipiac:dallyrashawn,"Dally, Rashawn",Quinnipiac,18,19,1623,6,6,43,17,0
butler:guhlbrandon,"GUHL, Brandon",Butler,11,18,1400,7,4,34,12,0
drexel:ebbesenmathias,"Ebbesen, Mathias",Drexel,10,16,1351,8,2,43,20,0
stanford:bashtiamir,"Bashti, Amir",Stanford,11,16,1313,6,6,47,23,0
fgcu:mullingsovonte,"MULLINGS, O'Vonte",FGCU,21,16,1153,7,4,43,26,0
uic:toddmax,"Todd,Max",UIC,7,13,1102,9,0,57,28,0
saintmarys:engebretsenanders,"Engebretsen, Anders",Saint Mary's,11,14,1083,7,4,51,25,0
rhodeisland:zarokostasstavros,"ZAROKOSTAS, Stavros",Rhode Island,9,12,977,7,4,30,18,0
universityofsouthernindiana:rickeysean,"Rickey, Sean",University of Southern Indiana,3,12,909,7,4,41,16,0
lindenwood:scholljoshua,"Scholl, Joshua",Lindenwood,6,17,824,7,4,44,18,0
stthomas:barryjack,"Barry, Jack",St. Thomas,23,21,1754,7,3,22,13,0
marquette:prpaluka,"Prpa, Luka",Marquette,10,19,1744,6,5,39,13,0
uconn:harrisdayonn,"Harris, Dayonn",UConn,5,21,1586,4,9,37,15,0
notredame:ianaschieris,Ian Aschieris,Notre Dame,22,28,1502,8,1,33,16,0
smu:cuelloemil,"Cuello, Emil",SMU,10,18,1471,5,7,48,21,0
charlotte:brucedaniel,"Bruce, Daniel",Charlotte,10,21,1421,6,5,48,24,0
belmontuniversity:bennatimatteo,"Bennati, Matteo",Belmont University,16,15,1207,7,3,34,19,0
georgetown:dodsonderek,"DODSON, Derek",Georgetown,9,16,1205,8,1,45,25,0
stetson:colaserwan,"Colas, Erwan",Stetson,20,17,1153,7,3,43,15,0
etsu:dannybarlow,Danny Barlow,ETSU,7,14,1103,8,1,41,21,0
lindenwood:hutchesonthomas,"Hutcheson, Thomas",Lindenwood,11,17,1090,7,3,32,18,0
olddominion:klosterhalfenniko,"KLOSTERHALFEN, Niko",Old Dominion,7,12,1059,5,7,22,10,0
cornell:touchecharles,"Touche, Charles",Cornell,9,15,940,8,1,25,16,0
stanford:ryanzach,"Ryan, Zach",Stanford,14,15,894,7,3,23,14,0
marshall:bouzoukisgianni,"BOUZOUKIS, Gianni",Marshall,9,19,868,8,1,28,13,0
uic:saddlermarkell,"Saddler,Markell",UIC,11,13,841,4,9,31,12,0
rhodeisland:akselsenedvin,"Akselsen, Edvin",Rhode Island,28,11,675,6,5,22,13,0
notredame:thomasueland,Thomas Ueland,Notre Dame,21,28,1865,7,2,49,20,0
hofstra:vowinkelmatthew,"Vowinkel, Matthew",Hofstra,21,21,1699,8,0,34,16,0
tulsa:bromstedtchase,"Bromstedt, Chase",Tulsa,6,19,1674,5,6,40,15,0
ucirvine:quezadaalvaro,"Quezada, Alvaro",UC Irvine,14,20,1552,5,6,46,20,0
stjohns:simonsenskage,"Simonsen, Skage",St. John's,8,18,1504,6,4,38,19,0
sandiego:berrymiguel,"BERRY, Miguel",San Diego,9,18,1457,7,2,57,24,0
stjohns:forstermatt,"Forster, Matt",St. John's,15,18,1398,6,4,39,22,0
marist:gavilanesallen,"Gavilanes, Allen",Marist,10,16,1365,5,6,49,24,0
fiu:ahlinvijoris,"Ahlinvi, Joris",FIU,11,15,1332,7,2,59,25,0
northernkentucky:probertconnor,"Probert, Connor",Northern Kentucky,11,16,1285,5,6,30,13,0
templeuniversity:fernandeslukas,"FERNANDES,Lukas",Temple University,11,19,1217,6,4,46,24,0
calpoly:goodesean,"Goode, Sean",Cal Poly,23,16,1214,7,2,36,15,0
campbell:jacquelthibaut,"Jacquel, Thibaut",Campbell,18,19,1196,4,8,42,19,0
santaclara:ruizduranjavier,"RUIZ DURAN, Javier",Santa Clara,11,13,1174,6,4,30,12,0
rhodeisland:richterdominik,"Richter, Dominik",Rhode Island,10,13,1010,5,6,42,21,0
highpoint:kosmidisilias,"KOSMIDIS, Ilias",High Point,7,13,1001,7,2,23,12,0
bradley:wintermeyergerit,"Wintermeyer, Gerit",Bradley,9,12,999,6,4,49,23,0
coastalcarolina:ntsabelengtsiki,"Ntsabeleng, Tsiki",Coastal Carolina,7,15,982,5,6,32,14,0
vermont:alvesgeo,"Alves, Geo",Vermont,2,13,968,7,2,56,27,0
