identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
Akron::jaaskelainenemil,"Jaaskelainen, Emil",Akron,Big East,2024,9,21,1714,23,8,92,45,0,0.0,false,0,37.804,1.6440,1568,100,true,true
Ohio State::adedokunmichael,"Adedokun, Michael",Ohio State,Big Ten,2024,17,22,1856,11,11,83,29,0,0.0,false,0,31.490,1.2964,1630,99.8,true,true
Missouri State::bareajesus,"Barea, Jesus",Missouri State,American,2024,10,18,1382,15,4,81,50,0,0.0,false,0,31.289,1.6219,1535,99.9,true,true
Denver::bassettsam,"Bassett, Sam",Denver,West Coast,2024,10,23,2008,9,13,53,28,0,0.0,false,0,28.177,1.0949,1634,99.2,true,true
Fordham::dippolitodaniel,"D'Ippolito, Daniel",Fordham,Atlantic 10,2024,10,18,1447,14,7,68,35,0,0.0,false,0,27.978,1.4093,1533,99.9,true,true
Vermont::baziniyaniv,"Bazini, Yaniv",Vermont,America East,2024,11,24,1874,14,2,79,38,0,0.0,false,0,26.310,1.0857,1564,99.1,true,true
Kansas City::kisokaelie,"Kisoka, Elie",Kansas City,Summit,2024,9,22,1720,12,9,69,26,0,0.0,false,0,25.638,1.1349,1556,99.4,true,true
SMU::sparksbailey,"Sparks, Bailey",SMU,ACC,2024,10,21,1803,9,10,49,23,0,0.0,false,0,24.824,1.0606,1636,99,true,true
Marshall::rodriguesdossantoslineker,"Rodrigues dos Santos, Lineker",Marshall,Sun Belt,2024,7,20,1683,14,5,48,25,0,0.0,false,0,24.404,1.1025,1603,99.3,true,true
UC Santa Barbara::ledouxalexis,"Ledoux, Alexis",UC Santa Barbara,Big West,2024,7,22,1643,14,5,56,26,0,0.0,false,0,24.144,1.1124,1557,99.4,true,true
West Virginia::orsnavarrosergio,"Ors Navarro, Sergio",West Virginia,Sun Belt,2024,20,20,1431,15,3,67,28,0,0.0,false,0,23.147,1.1901,1534,99.7,true,true
San Jose State::iniguezangel,"Iniguez, Angel",San Jose State,Mountain West,2024,10,19,1646,10,7,52,31,0,0.0,false,0,22.334,1.0331,1514,98.7,true,true
Notre Dame::rooumatthew,"Roou, Matthew",Notre Dame,ACC,2024,21,17,1271,14,4,52,28,0,0.0,false,0,22.064,1.2441,1601,99.7,true,true
Cornell::harrisalex,"Harris, Alex",Cornell,Ivy,2024,9,14,1074,13,2,62,36,0,0.0,false,0,22.006,1.4015,1500,99.9,true,true
Oregon State::solanssergi,"Solans, Sergi",Oregon State,Pac-12,2024,7,18,1187,14,3,41,25,0,0.0,false,0,21.762,1.2913,1573,99.8,true,true
Duke::bjornssonulfur,"Bjornsson, Ulfur",Duke,ACC,2024,9,19,1338,13,3,50,32,0,0.0,false,0,21.425,1.1653,1573,99.6,true,true
Drexel::bachsteindominick,"Bachstein, Dominick",Drexel,CAA,2024,18,17,1179,12,6,44,24,0,0.0,false,0,21.275,1.2708,1477,99.8,true,true
Indiana::mihalictommy,"Mihalic, Tommy",Indiana,Big Ten,2024,10,21,1538,10,5,60,19,0,0.0,false,0,20.764,1.0182,1629,98.6,true,true
UC Davis::goodmancason,"Goodman, Cason",UC Davis,Mountain West,2024,15,21,1600,11,3,55,30,0,0.0,false,0,20.756,0.9870,1552,98.3,true,true
