identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
Saint Louis::bechersimon,"Becher, Simon",Saint Louis,Atlantic 10,2021,9,20,1414,14,9,62,36,0,0.0,false,0,29.102,1.4856,1530,99.9,true,true
Hofstra::carmichaelryan,"Carmichael, Ryan",Hofstra,CAA,2021,18,22,1747,15,9,72,34,0,0.0,false,0,28.719,1.2447,1480,99.8,true,true
Hofstra::vowinkelmatthew,"Vowinkel, Matthew",Hofstra,CAA,2021,21,22,1784,13,9,63,35,0,0.0,false,0,27.795,1.1869,1480,99.6,true,true
Washington::tevesdylan,"Teves, Dylan",Washington,Big Ten,2021,9,20,1681,12,7,60,30,0,0.0,false,0,27.052,1.2129,1618,99.7,true,true
Duke::ulfarssonthorleifur,"Ulfarsson, Thorleifur",Duke,ACC,2021,7,22,1234,16,2,60,30,0,0.0,false,0,26.484,1.5045,1647,100,true,true
Creighton::gutierrezdiego,"Gutierrez, Diego",Creighton,Big East,2021,11,19,1527,10,7,60,27,0,0.0,false,0,23.933,1.1654,1591,99.5,true,true
Georgetown::polvaradante,"Polvara, Dante",Georgetown,Big East,2021,8,21,1826,7,6,78,34,0,0.0,false,0,23.752,1.0052,1603,98.5,true,true
Saint Louis::kleinjohn,"Klein, John",Saint Louis,Atlantic 10,2021,10,19,1368,7,15,38,23,0,0.0,false,0,23.605,1.2511,1535,99.8,true,true
Oakland::jensennoah,"Jensen, Noah",Oakland,Horizon,2021,5,21,1930,8,12,62,25,0,0.0,false,0,23.427,0.9489,1468,97.9,true,true
Notre Dame::lynnjack,"Lynn, Jack",Notre Dame,ACC,2021,27,23,1681,10,4,72,30,0,0.0,false,0,23.405,1.0589,1653,99,true,true
Wake Forest::holcombkyle,"Holcomb, Kyle",Wake Forest,ACC,2021,7,21,1449,12,4,48,30,0,0.0,false,0,23.197,1.1784,1603,99.5,true,true
Hofstra::hebbekerhendrik,"Hebbeker, Hendrik",Hofstra,CAA,2021,11,22,1572,9,11,50,26,0,0.0,false,0,23.186,1.1062,1480,99.2,true,true
Northern Illinois::markanichnick,"Markanich, Nick",Northern Illinois,Other / Non-D1,2021,13,14,1154,13,3,68,35,0,0.0,false,0,22.913,1.3792,1490,99.9,true,false
Louisville::fonsecapedro,"Fonseca, Pedro",Louisville,ACC,2021,10,18,1492,8,8,66,26,0,0.0,false,0,22.879,1.1376,1589,99.3,true,true
Duquesne::hopfermaxi,"Hopfer, Maxi",Duquesne,Atlantic 10,2021,10,18,1476,11,6,77,36,0,0.0,false,0,22.779,1.1424,1465,99.4,true,true
UNC Greensboro::collombtheo,"Collomb, Theo",UNC Greensboro,Southern,2021,9,17,1114,15,5,66,31,0,0.0,false,0,22.713,1.4029,1435,99.9,true,true
Villanova::mackinnonlyam,"Mackinnon, Lyam",Villanova,Big East,2021,7,21,1644,8,6,70,28,0,0.0,false,0,22.670,1.0460,1625,98.9,true,true
Iona::azzamruizcamil,"Azzam Ruiz, Camil",Iona,Metro,2021,23,17,1324,10,3,89,48,0,0.0,false,0,22.533,1.2278,1378,99.7,true,true
Air Force::tragertristan,"Trager, Tristan",Air Force,Mountain West,2021,10,17,1302,13,6,59,28,0,0.0,false,0,22.270,1.2296,1504,99.7,true,true
Rhode Island::agyemangpatrick,"Agyemang, Patrick",Rhode Island,Atlantic 10,2021,27,17,1482,10,6,58,30,0,0.0,false,0,21.825,1.0944,1494,99.2,true,true
Tulsa::meinhardalex,"Meinhard, Alex",Tulsa,American,2021,15,17,951,12,2,49,31,0,0.0,false,0,21.626,1.4963,1580,99.9,true,true
Cornell::bagleytyler,"Bagley, Tyler",Cornell,Ivy,2021,12,15,1114,12,7,49,28,0,0.0,false,0,21.095,1.3098,1464,99.9,true,true
Mercer::gaitherdylan,"Gaither, Dylan",Mercer,Southern,2021,10,19,1423,13,4,49,34,0,0.0,false,0,20.841,1.0816,1423,99.1,true,true
Rider University::alibouzaki,"Alibou, Zaki",Rider University,Metro,2021,9,20,1764,10,5,88,34,0,0.0,false,0,20.654,0.9074,1368,97.2,true,true
Louisville::camaraaboubacar,"Camara, Aboubacar",Louisville,ACC,2021,9,18,1251,13,2,50,25,0,0.0,false,0,20.330,1.1639,1589,99.4,true,true
Mercyhurst::wardensidney,"Warden, Sidney",Mercyhurst,NEC,2021,10,17,1280,18,4,56,31,0,0.0,false,0,20.265,1.1410,1297,99.4,true,true
UC Davis::arfstenmaximilian,"Arfsten, Maximilian",UC Davis,Mountain West,2021,11,20,1523,8,7,56,29,0,0.0,false,0,19.991,0.9880,1503,98.3,true,true
Oregon State::mondityrone,"Mondi, Tyrone",Oregon State,Pac-12,2021,17,20,1860,8,5,45,21,0,0.0,false,0,19.532,0.8259,1650,95.3,true,true
Drexel::donovanchris,"Donovan, Chris",Drexel,CAA,2021,7,17,1367,12,2,60,32,0,0.0,false,0,19.434,1.0452,1468,98.9,true,true
UCF::vivigino,"Vivi, Gino",UCF,Sun Belt,2021,7,15,1196,6,6,51,27,0,0.0,false,0,19.303,1.1466,1578,99.4,true,true
Princeton::otoolekevin,"O'Toole, Kevin",Princeton,Ivy,2021,6,18,1451,7,9,56,25,0,0.0,false,0,19.212,0.9885,1500,98.3,true,true
Oregon State::ntsabelengtsiki,"Ntsabeleng, Tsiki",Oregon State,Pac-12,2021,18,19,1490,5,8,49,17,0,0.0,false,0,18.532,0.9371,1650,97.7,true,true
Marshall::dolabellapedro,"Dolabella, Pedro",Marshall,Sun Belt,2021,10,16,1391,10,6,34,18,0,0.0,false,0,18.196,0.9710,1561,98.1,true,true
UC Santa Barbara::ballardmcbridefinn,"Ballard McBride, Finn",UC Santa Barbara,Big West,2021,11,22,1506,10,6,36,18,0,0.0,false,0,18.080,0.9086,1511,97.2,true,true
Vermont::nagyalex,"Nagy, Alex",Vermont,America East,2021,13,18,1416,5,9,60,22,0,0.0,false,0,17.898,0.9436,1460,97.8,true,true
Cleveland State::schmidtjannis,"Schmidt, Jannis",Cleveland State,Horizon,2021,8,18,1541,6,10,45,23,0,0.0,false,0,17.851,0.8823,1438,96.7,true,true
Notre Dame::mccartneydawson,"McCartney, Dawson",Notre Dame,ACC,2021,28,24,1967,7,5,46,20,0,0.0,false,0,17.848,0.7267,1656,92.6,true,true
Quinnipiac::aasenbrage,"Aasen, Brage",Quinnipiac,Metro,2021,13,17,1287,11,3,56,36,0,0.0,false,0,17.628,0.9997,1375,98.5,true,true
Seattle::mcglynndeclan,"McGlynn, Declan",Seattle,West Coast,2021,22,18,1483,6,4,56,26,0,0.0,false,0,17.551,0.8948,1570,97,true,true
Marist::copettistefan,"Copetti, Stefan",Marist,Metro,2021,9,22,1658,9,3,71,31,0,0.0,false,0,17.540,0.8200,1411,95.1,true,true
Maryland::benderben,"Bender, Ben",Maryland,Big Ten,2021,8,18,1384,7,5,38,22,0,0.0,false,0,17.539,0.9425,1579,97.8,true,true
Northeastern::tellezfederico,"Tellez, Federico",Northeastern,CAA,2021,19,18,1333,6,13,44,13,0,0.0,false,0,17.531,0.9691,1439,98.1,true,true
California Baptist::iliohanbryan,"Iliohan, Bryan",California Baptist,Pac-12,2021,14,15,1010,12,1,45,27,0,0.0,false,0,17.531,1.1834,1465,99.6,true,true
Fairfield::filipejonathan,"Filipe, Jonathan",Fairfield,Metro,2021,9,17,1535,10,5,53,27,0,0.0,false,0,17.487,0.8684,1393,96.4,true,true
SMU::costagabriel,"Costa, Gabriel",SMU,ACC,2021,11,14,1115,6,6,50,19,0,0.0,false,0,17.466,1.1003,1604,99.2,true,true
Lipscomb::spicertyrese,"Spicer, Tyrese",Lipscomb,ASUN,2021,20,16,992,8,7,46,19,0,0.0,false,0,17.457,1.1936,1475,99.6,true,true
Stanford::boudaousseni,"Bouda, Ousseni",Stanford,ACC,2021,11,15,1099,5,9,38,18,0,0.0,false,0,17.429,1.1095,1633,99.3,true,true
Virginia::afonsoleo,"Afonso, Leo",Virginia,ACC,2021,7,16,1297,8,2,49,22,0,0.0,false,0,17.425,0.9836,1656,98.2,true,true
Akron::pachecodiogo,"Pacheco, Diogo",Akron,Big East,2021,7,18,1200,7,7,48,14,0,0.0,false,0,17.386,1.0393,1590,98.8,true,true
Navy::williamsjacob,"Williams, Jacob",Navy,Patriot,2021,10,19,1569,7,4,82,31,0,0.0,false,0,17.355,0.8480,1385,96,true,true
Milwaukee::farringtonlogan,"Farrington, Logan",Milwaukee,Horizon,2021,9,18,1349,8,7,61,24,0,0.0,false,0,17.229,0.9453,1387,97.8,true,true
Penn State::kuhnseth,"Kuhn, Seth",Penn State,Big Ten,2021,10,21,1781,5,8,39,17,0,0.0,false,0,17.200,0.7611,1580,93.6,true,true
Queens::mendoncafelipe,"Mendonca, Felipe",Queens,ASUN,2021,9,16,1448,14,3,52,29,0,0.0,false,0,17.197,0.8945,1284,96.9,true,true
UC Santa Barbara::baartmanthaabit,"Baartman, Thaabit",UC Santa Barbara,Big West,2021,8,22,1442,7,5,55,21,0,0.0,false,0,16.957,0.8859,1511,96.7,true,true
Indiana::bezerravictor,"Bezerra, Victor",Indiana,Big Ten,2021,7,21,1340,8,5,54,18,0,0.0,false,0,16.927,0.9349,1564,97.6,true,true
Seattle::johnsonlevonte,"Johnson, Levonte",Seattle,West Coast,2021,16,18,1404,6,5,48,21,0,0.0,false,0,16.912,0.9019,1570,97.1,true,true
Syracuse::kerrdeandre,"Kerr, Deandre",Syracuse,ACC,2021,7,18,972,9,3,39,25,0,0.0,false,0,16.879,1.1738,1629,99.5,true,true
Vermont::lerechnacho,"Lerech, Nacho",Vermont,America East,2021,21,17,1191,6,4,64,28,0,0.0,false,0,16.857,1.0160,1472,98.7,true,true
UMBC::calheirataylor,"Calheira, Taylor",UMBC,America East,2021,15,19,1517,9,5,49,25,0,0.0,false,0,16.598,0.8357,1438,95.5,true,true
UCF::douradolucca,"Dourado, Lucca",UCF,Sun Belt,2021,22,15,906,12,2,37,16,0,0.0,false,0,16.459,1.2030,1578,99.6,true,true
