identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
Duke::team,TEAM,Duke,ACC,2019,TM,13,45,13,0,160,61,0,0.0,false,0,34.248,6.5205,1576,100,false,true
Clemson::robbierobinson,Robbie Robinson,Clemson,ACC,2019,7,15,991,16,9,75,34,0,0.0,false,0,30.938,2.0331,1560,100,true,true
San Diego::berrymiguel,"Berry, Miguel",San Diego,West Coast,2019,9,17,1627,15,8,71,36,0,0.0,false,0,28.703,1.3137,1500,99.9,true,true
Washington::bodilyblake,"Bodily, Blake",Washington,Big Ten,2019,98,23,1497,15,6,69,36,0,0.0,false,0,28.388,1.3869,1594,99.9,true,true
Wright State::corfederi,"Corfe, Deri",Wright State,Horizon,2019,11,20,1592,13,7,89,40,0,0.0,false,0,27.877,1.2998,1518,99.8,true,true
Dayton::fjeldbergjonas,"Fjeldberg, Jonas",Dayton,Atlantic 10,2019,14,20,1618,10,9,85,44,0,0.0,false,0,27.538,1.2687,1463,99.7,true,true
UCF::jenningscal,"Jennings, Cal",UCF,Sun Belt,2019,3,18,1470,16,3,56,28,0,0.0,false,0,25.014,1.2482,1598,99.7,true,true
St. John's::oluwaseyitani,"Oluwaseyi, Tani",St. John's,Big East,2019,14,20,1340,11,5,65,36,0,0.0,false,0,24.376,1.3068,1579,99.8,true,true
Campbell::jacquelthibaut,"Jacquel, Thibaut",Campbell,CAA,2019,18,21,1550,18,5,59,29,0,0.0,false,0,23.917,1.1490,1460,99.3,true,true
SMU::costagabriel,"Costa, Gabriel",SMU,ACC,2019,11,17,1273,9,11,48,21,0,0.0,false,0,23.338,1.3034,1591,99.8,true,true
Saint Mary's::engebretsenanders,"Engebretsen, Anders",Saint Mary's,West Coast,2019,11,17,1252,13,8,55,25,0,0.0,false,0,23.302,1.3176,1496,99.9,true,true
James Madison::ferriolmanuel,"Ferriol,Manuel",James Madison,Sun Belt,2019,10,20,1625,15,4,71,29,0,0.0,false,0,23.166,1.0748,1517,99.1,true,true
Syracuse::raposoryan,"Raposo, Ryan",Syracuse,ACC,2019,10,16,1403,12,7,43,26,0,0.0,false,0,23.027,1.1969,1613,99.5,true,true
SMU::mclaughlingarrett,"McLaughlin, Garrett",SMU,ACC,2019,7,19,1483,12,5,60,31,0,0.0,false,0,22.766,1.1352,1582,99.2,true,true
Bellarmine::bernedotomas,"Bernedo, Tomas",Bellarmine,ASUN,2019,9,22,1581,14,7,71,38,0,0.0,false,0,22.727,1.0787,1328,99.1,true,true
Rhode Island::akselsenedvin,"AKSELSEN, Edvin",Rhode Island,Atlantic 10,2019,28,21,1857,4,12,65,35,0,0.0,false,0,21.940,0.9189,1451,97.9,true,true
UC Santa Barbara::baynhamwill,"Baynham, Will",UC Santa Barbara,Big West,2019,20,24,1999,9,7,40,25,0,0.0,false,0,21.760,0.8590,1588,96.9,true,true
Louisville::dieyecherif,"Dieye, Cherif",Louisville,ACC,2019,12,17,1215,6,5,68,32,0,0.0,false,0,21.700,1.2603,1645,99.7,true,true
Georgetown::dodsonderek,"DODSON, DEREK",Georgetown,Big East,2019,9,19,1293,9,4,57,31,0,0.0,false,0,21.629,1.2002,1598,99.5,true,true
Penn State::molloyaaron,"Molloy, Aaron",Penn State,Big Ten,2019,8,19,1723,9,6,58,21,0,0.0,false,0,21.567,0.9601,1593,98.4,true,true
UC Santa Barbara::michaelrodney,"Michael, Rodney",UC Santa Barbara,Big West,2019,10,23,1894,8,7,61,22,0,0.0,false,0,21.480,0.8868,1574,97.3,true,true
CSUN::trejodaniel,"Trejo, Daniel",CSUN,Other / Non-D1,2019,10,16,1366,8,5,52,36,0,0.0,false,0,21.382,1.1397,1549,99.3,true,false
Utah Valley::frischknechtblake,"Frischknecht, Blake",Utah Valley,Big West,2019,9,18,1238,12,1,77,37,0,0.0,false,0,21.193,1.2161,1456,99.6,true,true
Mercer::martineautrevor,"Martineau, Trevor",Mercer,Southern,2019,9,19,1374,12,10,51,26,0,0.0,false,0,21.023,1.1170,1407,99.2,true,true
Marshall::robertsjamil,"Roberts, Jamil",Marshall,Sun Belt,2019,11,19,1234,8,9,40,21,0,0.0,false,0,20.890,1.2027,1577,99.5,true,true
Northern Kentucky::greivealex,"Greive, Alex",Northern Kentucky,Horizon,2019,7,12,992,15,2,61,33,0,0.0,false,0,20.808,1.3995,1434,99.9,true,true
