identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
Creighton::mcguireduncan,"McGuire, Duncan",Creighton,Big East,2022,13,24,1590,23,3,65,40,0,0.0,false,0,36.193,1.6703,1646,100,true,true
Indiana::wittenbrinkryan,"Wittenbrink, Ryan",Indiana,Big Ten,2022,18,25,1833,10,9,60,33,0,0.0,false,0,29.336,1.2222,1659,99.7,true,true
Syracuse::opokunathan,"Opoku, Nathan",Syracuse,ACC,2022,10,24,1816,9,8,71,32,0,0.0,false,0,27.988,1.1778,1663,99.5,true,true
Rutgers::myersmd,"Myers, MD",Rutgers,Big Ten,2022,9,19,1419,13,6,63,38,0,0.0,false,0,27.815,1.4197,1583,99.9,true,true
Mercyhurst::kerrigansean,"Kerrigan, Sean",Mercyhurst,NEC,2022,7,20,1407,20,7,83,44,0,0.0,false,0,27.206,1.3993,1298,99.9,true,true
Hofstra::goldthorpeliot,"Goldthorp, Eliot",Hofstra,CAA,2022,37,20,1519,17,5,71,36,0,0.0,false,0,27.108,1.3153,1498,99.8,true,true
Mercyhurst::sumnerdylan,"Sumner, Dylan",Mercyhurst,NEC,2022,8,19,1563,9,15,82,38,0,0.0,false,0,25.546,1.2167,1309,99.6,true,true
Western Michigan::sharpcharlie,"Sharp, Charlie",Western Michigan,Missouri Valley,2022,25,21,1764,12,7,75,35,0,0.0,false,0,24.591,1.0674,1535,98.9,true,true
Pittsburgh::noelvalentin,"Noel, Valentin",Pittsburgh,ACC,2022,8,22,1826,11,3,56,29,0,0.0,false,0,23.666,1.0018,1684,98.2,true,true
Creighton::castrojackson,"Castro, Jackson",Creighton,Big East,2022,16,24,1671,10,7,56,26,0,0.0,false,0,23.642,1.0739,1646,99,true,true
UMBC::becherryan,"Becher, Ryan",UMBC,America East,2022,21,18,1533,13,10,50,29,0,0.0,false,0,23.397,1.1376,1418,99.5,true,true
Washington::meeklucas,"Meek, Lucas",Washington,Big Ten,2022,33,20,1381,10,8,42,24,0,0.0,false,0,23.241,1.2243,1596,99.7,true,true
Syracuse::johnsonlevonte,"Johnson, Levonte",Syracuse,ACC,2022,14,24,1493,10,6,52,30,0,0.0,false,0,23.153,1.1497,1663,99.5,true,true
Creighton::probogiorgio,"Probo, Giorgio",Creighton,Big East,2022,27,24,1993,5,13,42,18,0,0.0,false,0,22.601,0.8940,1646,97,true,true
Vermont::nagyalex,"Nagy, Alex",Vermont,America East,2022,13,17,983,9,9,54,28,0,0.0,false,0,22.349,1.5084,1550,99.9,true,true
Pittsburgh::jacquessonbertin,"Jacquesson, Bertin",Pittsburgh,ACC,2022,10,22,1631,8,5,61,24,0,0.0,false,0,22.083,1.0272,1684,98.5,true,true
Stanford::agostinellicarlo,"Agostinelli, Carlo",Stanford,ACC,2022,10,21,1067,5,12,49,22,0,0.0,false,0,22.056,1.4074,1607,99.9,true,true
Virginia::afonsoleo,"Afonso, Leo",Virginia,ACC,2022,7,19,1517,7,4,69,30,0,0.0,false,0,21.842,1.0757,1666,99,true,true
UMBC::calheirataylor,"Calheira, Taylor",UMBC,America East,2022,15,17,1435,11,7,70,32,0,0.0,false,0,21.617,1.1117,1419,99.3,true,true
Charlotte::laceykameron,"Lacey, Kameron",Charlotte,American,2022,10,16,1112,9,7,53,27,0,0.0,false,0,20.356,1.2690,1514,99.7,true,true
Portland::cambridgebrandon,"Cambridge, Brandon",Portland,West Coast,2022,7,17,1295,11,6,41,19,0,0.0,false,0,20.101,1.1227,1597,99.4,true,true
Creighton::omalleyowen,"O'Malley, Owen",Creighton,Big East,2022,18,24,1622,8,5,55,24,0,0.0,false,0,19.875,0.9357,1646,97.6,true,true
Washington::paulilijah,"Paul, Ilijah",Washington,Big Ten,2022,12,20,1353,11,4,39,23,0,0.0,false,0,19.640,1.0636,1596,98.9,true,true
Quinnipiac::bercedodavid,"Bercedo, David",Quinnipiac,Metro,2022,10,21,1381,13,7,43,27,0,0.0,false,0,19.463,1.0386,1386,98.6,true,true
Duke::mohammedshakur,"Mohammed, Shakur",Duke,ACC,2022,14,21,1638,11,2,61,22,0,0.0,false,0,19.396,0.9079,1590,97.1,true,true
Butler::aultpalmer,"Ault, Palmer",Butler,Big East,2022,15,19,1562,10,6,43,19,0,0.0,false,0,19.134,0.9305,1587,97.4,true,true
Akron::shokalookjason,"Shokalook, Jason",Akron,Big East,2022,9,20,1114,9,6,38,22,0,0.0,false,0,18.869,1.1817,1590,99.5,true,true
California Baptist::muellerluis,"Mueller, Luis",California Baptist,Pac-12,2022,7,20,1408,8,6,58,25,0,0.0,false,0,18.805,0.9917,1506,98,true,true
Marshall::bellmatthew,"Bell, Matthew",Marshall,Sun Belt,2022,17,18,1486,9,4,55,23,0,0.0,false,0,18.357,0.9309,1554,97.4,true,true
Hofstra::carmichaelryan,"Carmichael, Ryan",Hofstra,CAA,2022,18,20,1631,9,4,58,26,0,0.0,false,0,18.314,0.8641,1498,96.6,true,true
Cornell::moralesbrandon,"Morales, Brandon",Cornell,Ivy,2022,10,18,1267,8,8,47,23,0,0.0,false,0,18.260,1.0445,1511,98.7,true,true
Loyola Chicago::hencybilly,"Hency, Billy",Loyola Chicago,Atlantic 10,2022,7,17,1468,8,7,47,25,0,0.0,false,0,18.192,0.9319,1485,97.5,true,true
Air Force::dewingthaddaeus,"Dewing, Thaddaeus",Air Force,Mountain West,2022,10,17,1368,11,4,34,19,0,0.0,false,0,18.179,0.9825,1561,98,true,true
Tulsa::meinhardalex,"Meinhard, Alex",Tulsa,American,2022,15,17,870,9,3,37,21,0,0.0,false,0,18.052,1.3445,1614,99.8,true,true
UNC Greensboro::ngandojc,"Ngando, JC",UNC Greensboro,Southern,2022,10,20,1752,4,12,49,20,0,0.0,false,0,18.044,0.8057,1511,95.4,true,true
SMU::ahlanderknut,"Ahlander, Knut",SMU,ACC,2022,10,15,1266,11,2,40,18,0,0.0,false,0,17.971,1.0300,1641,98.6,true,true
Pittsburgh::mirkovicfilip,"Mirkovic, Filip",Pittsburgh,ACC,2022,21,22,1793,3,11,38,16,0,0.0,false,0,17.919,0.7859,1684,94.8,true,true
Cleveland State::kolevskibojan,"Kolevski, Bojan",Cleveland State,Horizon,2022,9,21,1793,10,5,54,30,0,0.0,false,0,17.634,0.7745,1423,94.3,true,true
Clemson::syllaousmane,"Sylla, Ousmane",Clemson,ACC,2022,10,19,1466,6,7,44,25,0,0.0,false,0,17.598,0.9049,1616,97,true,true
Vermont::murraymax,"Murray, Max",Vermont,America East,2022,36,19,1069,10,5,39,20,0,0.0,false,0,17.521,1.1369,1550,99.4,true,true
Mercyhurst::mnchnic,"Münch, Nic",Mercyhurst,NEC,2022,23,20,1505,9,11,38,25,0,0.0,false,0,17.467,0.8808,1297,96.7,true,true
Wake Forest::mitchellroald,"Mitchell, Roald",Wake Forest,ACC,2022,9,19,1104,7,4,49,26,0,0.0,false,0,17.448,1.1071,1576,99.3,true,true
Grand Canyon::joashshaun,"Joash, Shaun",Grand Canyon,Mountain West,2022,9,14,849,9,6,28,18,0,0.0,false,0,17.369,1.3189,1549,99.8,true,true
Kansas City::koffichristian,"Koffi, Christian",Kansas City,Summit,2022,10,17,1178,6,6,64,28,0,0.0,false,0,17.285,1.0477,1440,98.8,true,true
Davidson College::krioutchenkovdenis,"Krioutchenkov, Denis",Davidson College,Atlantic 10,2022,9,17,1108,9,2,57,32,0,0.0,false,0,17.207,1.0903,1455,99.1,true,true
Merrimack College::schlingmannjuri,"Schlingmann, Juri",Merrimack College,Metro,2022,18,16,1285,10,4,48,30,0,0.0,false,0,17.010,0.9688,1379,97.8,true,true
Akron::clapierdyson,"Clapier, Dyson",Akron,Big East,2022,19,20,1333,7,7,38,19,0,0.0,false,0,17.009,0.9427,1590,97.7,true,true
Hofstra::svalanderoliver,"Svalander, Oliver",Hofstra,CAA,2022,7,20,1172,7,7,46,22,0,0.0,false,0,16.883,1.0293,1498,98.5,true,true
Western Michigan::singdylan,"Sing, Dylan",Western Michigan,Missouri Valley,2022,6,21,1746,7,6,49,22,0,0.0,false,0,16.727,0.7539,1535,93.6,true,true
Kentucky::greningcasper,"Grening, Casper",Kentucky,Sun Belt,2022,10,14,948,6,4,50,21,0,0.0,false,0,16.703,1.1827,1623,99.6,true,true
Missouri State::mulateronicolo,"Mulatero, Nicolo",Missouri State,American,2022,10,18,1165,9,4,45,25,0,0.0,false,0,16.699,1.0235,1467,98.4,true,true
Cal State Fullerton::cruzsebastian,"Cruz, Sebastian",Cal State Fullerton,Big West,2022,10,19,1573,8,6,51,21,0,0.0,false,0,16.693,0.8168,1445,95.5,true,true
Rutgers::templejackson,"Temple, Jackson",Rutgers,Big Ten,2022,12,19,1114,5,8,36,16,0,0.0,false,0,16.645,1.0538,1583,98.8,true,true
Georgetown::taboramarlon,"Tabora, Marlon",Georgetown,Big East,2022,9,19,1037,5,6,42,20,0,0.0,false,0,16.610,1.1062,1623,99.2,true,true
San Jose State::lerouxbeau,"Leroux, Beau",San Jose State,Mountain West,2022,8,21,1794,7,3,68,27,0,0.0,false,0,16.591,0.7323,1485,92.9,true,true
Western Michigan::conertyeric,"Conerty, Eric",Western Michigan,Missouri Valley,2022,9,21,1823,4,13,35,10,0,0.0,false,0,16.588,0.7228,1535,92.5,true,true
Central Arkansas::andreassensebastian,"Andreassen, Sebastian",Central Arkansas,ASUN,2022,9,15,1187,7,6,42,23,0,0.0,false,0,16.420,0.9944,1522,98.1,true,true
Butler::cabrerajrwilmer,"Cabrera, Jr., Wilmer",Butler,Big East,2022,13,18,1482,6,4,55,23,0,0.0,false,0,16.390,0.8412,1582,96.1,true,true
UNC Greensboro::afonsomarco,"Afonso, Marco",UNC Greensboro,Southern,2022,28,20,1212,7,7,32,19,0,0.0,false,0,16.357,0.9761,1511,97.9,true,true
Stanford::defloresshane,"de Flores, Shane",Stanford,ACC,2022,13,21,1061,9,4,28,18,0,0.0,false,0,16.304,1.0704,1600,99,true,true
UC Santa Barbara::ballardmcbridefinn,"Ballard McBride, Finn",UC Santa Barbara,Big West,2022,11,20,1311,13,2,33,20,0,0.0,false,0,16.288,0.9177,1481,97.3,true,true
Harvard::arlottialessandro,"Arlotti, Alessandro",Harvard,Ivy,2022,10,16,1105,5,7,41,23,0,0.0,false,0,16.155,1.0315,1488,98.6,true,true
Marshall::yosefmilo,"Yosef, Milo",Marshall,Sun Belt,2022,7,18,1383,8,3,50,22,0,0.0,false,0,15.912,0.8632,1554,96.6,true,true
UCF::douradolucca,"Dourado, Lucca",UCF,Sun Belt,2022,9,13,987,11,0,42,21,0,0.0,false,0,15.878,1.0989,1575,99.2,true,true
Denver::bassettsam,"Bassett, Sam",Denver,West Coast,2022,18,22,1264,7,6,38,23,0,0.0,false,0,15.838,0.9192,1509,97.3,true,true
California Baptist::iliohanbryan,"Iliohan, Bryan",California Baptist,Pac-12,2022,9,20,1380,6,6,50,20,0,0.0,false,0,15.718,0.8550,1506,96.4,true,true
Army::guerragage,"Guerra, Gage",Army,Patriot,2022,11,16,1076,9,3,47,26,0,0.0,false,0,15.695,1.0240,1421,98.4,true,true
George Washington::cooklintom,"Cooklin, Tom",George Washington,Atlantic 10,2022,10,19,1406,3,13,32,16,0,0.0,false,0,15.660,0.8402,1417,96.1,true,true
Kentucky::gutmannnick,"Gutmann, Nick",Kentucky,Sun Belt,2022,7,14,962,4,10,33,8,0,0.0,false,0,15.626,1.1022,1623,99.2,true,true
Cleveland State::kaweckipablo,"Kawecki, Pablo",Cleveland State,Horizon,2022,10,21,1757,9,4,63,25,0,0.0,false,0,15.615,0.7048,1423,91.7,true,true
Boston College::sigurdarsonstefan,"Sigurdarson, Stefan",Boston College,ACC,2022,23,16,1198,12,1,33,19,0,0.0,false,0,15.463,0.9355,1600,97.6,true,true
Harvard::ebbingewillem,"Ebbinge, Willem",Harvard,Ivy,2022,21,15,988,3,11,37,16,0,0.0,false,0,15.460,1.0719,1491,99,true,true
Lipscomb::woodhayes,"Wood, Hayes",Lipscomb,ASUN,2022,18,17,1293,8,3,48,22,0,0.0,false,0,15.449,0.8838,1496,96.8,true,true
William & Mary::levengoodalexander,"Levengood, Alexander",William & Mary,CAA,2022,7,15,1268,4,8,36,24,0,0.0,false,0,15.386,0.8934,1486,96.9,true,true
Yale::carrollpaolo,"Carroll, Paolo",Yale,Ivy,2022,10,15,1065,8,2,49,22,0,0.0,false,0,15.341,1.0104,1539,98.3,true,true
Oral Roberts::dagostinifelipe,"D'Agostini, Felipe",Oral Roberts,Summit,2022,10,17,1059,9,6,40,23,0,0.0,false,0,15.315,1.0129,1400,98.4,true,true
UC Riverside::clarkbrendan,"Clark, Brendan",UC Riverside,Pac-12,2022,19,20,1606,7,7,39,17,0,0.0,false,0,15.300,0.7427,1477,93.2,true,true
Washington::rosalesimanol,"Rosales, Imanol",Washington,Big Ten,2022,10,20,927,2,11,31,12,0,0.0,false,0,15.297,1.1088,1596,99.3,true,true
Villanova::saundersbalthi,"Saunders, Balthi",Villanova,Big East,2022,9,16,818,3,10,32,13,0,0.0,false,0,15.163,1.1946,1592,99.6,true,true
San Diego::tunbridgemason,"Tunbridge, Mason",San Diego,West Coast,2022,10,18,1108,6,4,53,26,0,0.0,false,0,15.091,0.9681,1496,97.8,true,true
Quinnipiac::sveculatomas,"Svecula, Tomas",Quinnipiac,Metro,2022,9,21,1318,10,4,46,21,0,0.0,false,0,15.026,0.8498,1386,96.3,true,true
Portland::babalaijacob,"Babalai, Jacob",Portland,West Coast,2022,14,16,992,7,4,27,17,0,0.0,false,0,14.962,1.0379,1614,98.6,true,true
Marquette::sunessonlukas,"Sunesson, Lukas",Marquette,Big East,2022,9,18,1190,7,3,36,21,0,0.0,false,0,14.955,0.9122,1582,97.1,true,true
SMU::petraeusalexander,"Petraeus, Alexander",SMU,ACC,2022,16,14,1011,3,7,35,15,0,0.0,false,0,14.858,1.0180,1647,98.4,true,true
