identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
Denver::shinyashikiandre,"Shinyashiki, Andre",Denver,West Coast,2018,9,17,1403,23,3,80,48,0,0.0,false,0,32.379,1.6486,1540,100,true,true
Northern Kentucky::willisalex,"Willis, Alex",Northern Kentucky,Horizon,2018,9,17,1485,16,7,67,39,0,0.0,false,0,24.126,1.1949,1370,99.7,true,true
Kentucky::jjwilliams,Jj Williams,Kentucky,Sun Belt,2018,7,16,1410,12,3,68,31,0,0.0,false,0,23.634,1.2193,1570,99.8,true,true
Duke::prochdaniele,"Proch, Daniele",Duke,ACC,2018,9,20,1497,11,4,65,27,0,0.0,false,0,23.600,1.1632,1659,99.6,true,true
Akron::zajacmarcel,"Zajac, Marcel",Akron,Big East,2018,11,24,1226,11,8,42,22,0,0.0,false,0,23.398,1.3404,1600,99.9,true,true
Akron::egbodavid,"Egbo, David",Akron,Big East,2018,9,24,1477,13,5,61,23,0,0.0,false,0,23.004,1.1474,1600,99.6,true,true
Air Force::bonetucker,"Bone, Tucker",Air Force,Mountain West,2018,7,22,1748,13,6,59,33,0,0.0,false,0,22.983,1.0051,1484,99,true,true
CSUN::trejodaniel,"Trejo, Daniel",CSUN,Other / Non-D1,2018,21,14,1100,9,5,55,36,0,0.0,false,0,21.536,1.3413,1513,99.9,true,false
UCF::jenningscal,"Jennings, Cal",UCF,Sun Belt,2018,3,11,881,15,1,60,31,0,0.0,false,0,21.514,1.5604,1509,99.9,true,true
Le Moyne College::faryarsalar,"Faryar, Salar",Le Moyne College,NEC,2018,14,17,1417,15,7,59,35,0,0.0,false,0,21.144,1.0947,1276,99.4,true,true
UNC Wilmington::goodrumphillip,"Goodrum, Phillip",UNC Wilmington,CAA,2018,10,20,1641,12,4,65,32,0,0.0,false,0,20.541,0.9514,1465,98.5,true,true
Rider University::otmanielliott,"Otmani, Elliott",Rider University,Metro,2018,9,21,1868,7,10,56,31,0,0.0,false,0,19.918,0.8341,1429,96.4,true,true
Air Force::dewingaustin,"Dewing, Austin",Air Force,Mountain West,2018,3,22,1448,12,5,45,27,0,0.0,false,0,19.741,1.0102,1484,99,true,true
California::kadonoshinya,"Kadono, Shinya",California,ACC,2018,11,19,1713,12,2,59,28,0,0.0,false,0,19.499,0.8764,1531,97.2,true,true
Fordham::loebejanos,"Loebe, Janos",Fordham,Atlantic 10,2018,10,16,1501,7,10,45,23,0,0.0,false,0,19.271,0.9611,1488,98.6,true,true
Oregon State::tchilaodon,"Tchilao, Don",Oregon State,Pac-12,2018,14,16,1460,6,8,46,22,0,0.0,false,0,19.048,0.9713,1592,98.7,true,true
Rhode Island::richterdominik,"Richter, Dominik",Rhode Island,Atlantic 10,2018,10,18,1405,8,6,56,28,0,0.0,false,0,19.046,0.9999,1472,98.9,true,true
Lipscomb::paynterlogan,"Paynter, Logan",Lipscomb,ASUN,2018,22,21,1798,10,3,58,27,0,0.0,false,0,18.686,0.8107,1499,95.9,true,true
Coastal Carolina::matthewsyazeed,"Matthews, Yazeed",Coastal Carolina,Sun Belt,2018,11,14,1033,13,3,52,20,0,0.0,false,0,18.442,1.2141,1503,99.7,true,true
UTRGV::edwardskyle,"Edwards, Kyle",UTRGV,Ohio Valley,2018,9,18,995,11,5,54,26,0,0.0,false,0,18.423,1.2449,1422,99.8,true,true
UNC Wilmington::elverothemil,"Elveroth, Emil",UNC Wilmington,CAA,2018,9,20,1370,11,5,41,27,0,0.0,false,0,18.400,0.9872,1465,98.8,true,true
UNLV::gonzalezmarco,"Gonzalez, Marco",UNLV,Mountain West,2018,4,20,1697,10,3,67,28,0,0.0,false,0,18.267,0.8313,1456,96.4,true,true
Army::osheakeenan,"O'Shea, Keenan",Army,Patriot,2018,9,19,1577,11,4,58,28,0,0.0,false,0,18.234,0.8790,1421,97.2,true,true
Georgia Southern::carbonelljavier,"Carbonell, Javier",Georgia Southern,Sun Belt,2018,7,15,1175,13,2,54,22,0,0.0,false,0,17.921,1.0792,1511,99.3,true,true
Le Moyne College::webermarek,"Weber, Marek",Le Moyne College,NEC,2018,11,16,1299,15,7,31,22,0,0.0,false,0,17.813,0.9971,1273,98.8,true,true
Bellarmine::linscottmicah,"Linscott, Micah",Bellarmine,ASUN,2018,14,19,1368,12,3,58,31,0,0.0,false,0,17.805,0.9588,1332,98.6,true,true
Wake Forest::fernandezomir,"Fernandez, Omir",Wake Forest,ACC,2018,16,14,878,9,4,36,22,0,0.0,false,0,17.728,1.3074,1583,99.9,true,true
Old Dominion::wilschreymax,"Wilschrey, Max",Old Dominion,Sun Belt,2018,11,13,1102,10,4,38,22,0,0.0,false,0,17.644,1.1139,1547,99.5,true,true
Creighton::koenigsven,"Koenig, Sven",Creighton,Big East,2018,10,17,1157,8,0,59,35,0,0.0,false,0,17.540,1.0699,1560,99.3,true,true
Seattle::rivassergio,"Rivas, Sergio",Seattle,West Coast,2018,10,17,1454,4,7,65,26,0,0.0,false,0,17.448,0.8987,1474,97.6,true,true
Georgetown::dodsonderek,"DODSON, Derek",Georgetown,Big East,2018,9,17,1286,9,1,51,27,0,0.0,false,0,17.384,0.9823,1573,98.8,true,true
Lehigh::forrestmark,"Forrest, Mark",Lehigh,Patriot,2018,9,16,1419,8,5,58,25,0,0.0,false,0,17.281,0.9075,1450,97.8,true,true
FIU::patinosantiago,"Patino, Santiago",FIU,American,2018,7,14,1135,12,2,51,23,0,0.0,false,0,17.264,1.0691,1528,99.3,true,true
Quinnipiac::whelaneamon,"Whelan, Eamon",Quinnipiac,Metro,2018,7,18,1238,13,4,46,23,0,0.0,false,0,17.246,1.0029,1436,98.9,true,true
Campbell::donnellyjj,"DONNELLY, JJ",Campbell,CAA,2018,14,20,1713,6,6,89,27,0,0.0,false,0,17.144,0.7784,1394,95.1,true,true
Indiana::gutmanandrew,"Gutman, Andrew",Indiana,Big Ten,2018,15,17,1444,8,6,40,17,0,0.0,false,0,17.112,0.8874,1587,97.5,true,true
Xavier::hestnessimen,"HESTNES, Simen",Xavier,Big East,2018,10,17,1554,8,7,41,20,0,0.0,false,0,17.037,0.8353,1508,96.5,true,true
