identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
NC State::phillipdonavan,"Phillip, Donavan",NC State,ACC,2025,7,23,1483,19,2,82,44,0,0.0,false,0,32.462,1.5906,1648,100,true,true
Indiana::aultpalmer,"Ault, Palmer",Indiana,Big Ten,2025,10,19,1537,16,10,61,31,0,0.0,false,0,32.381,1.5437,1643,99.9,true,true
Georgetown::zenguezach,"Zengue, Zach",Georgetown,Big East,2025,19,20,1634,12,13,62,34,0,0.0,false,0,32.224,1.4651,1621,99.9,true,true
UCLA::solanssergi,"Solans, Sergi",UCLA,Big Ten,2025,9,18,1446,16,6,55,31,0,0.0,false,0,30.307,1.5193,1657,99.9,true,true
UIC::nysedouard,"Nys, Edouard",UIC,Missouri Valley,2025,10,18,1523,16,5,99,49,0,0.0,false,0,28.611,1.3827,1404,99.7,true,true
West Virginia::caldeiramarcus,"Caldeira, Marcus",West Virginia,Sun Belt,2025,7,20,1441,14,7,62,33,0,0.0,false,0,28.047,1.4158,1570,99.8,true,true
Oregon State::farnosarnau,"Farnos, Arnau",Oregon State,Pac-12,2025,10,14,1237,12,9,60,26,0,0.0,false,0,27.208,1.5422,1625,99.9,true,true
Georgetown::bakermitchell,"Baker, Mitchell",Georgetown,Big East,2025,9,20,1417,13,3,70,39,0,0.0,false,0,27.092,1.3880,1621,99.8,true,true
Washington::kosakoffcharlie,"Kosakoff, Charlie",Washington,Big Ten,2025,9,24,1717,11,6,60,28,0,0.0,false,0,25.946,1.1482,1690,99.4,true,true
UNC Greensboro::dovloenzo,"Dovlo, Enzo",UNC Greensboro,Southern,2025,14,22,1679,10,8,65,33,0,0.0,false,0,23.817,1.0787,1549,99,true,true
NC State::healytaig,"Healy, Taig",NC State,ACC,2025,10,23,1638,5,8,72,31,0,0.0,false,0,23.813,1.0997,1648,99.2,true,true
Akron::dobrijevicstefan,"Dobrijevic, Stefan",Akron,Big East,2025,18,21,1475,8,12,51,22,0,0.0,false,0,23.738,1.1893,1609,99.6,true,true
Grand Canyon::dioufjunior,"Diouf, Junior",Grand Canyon,Mountain West,2025,9,17,1286,15,4,62,29,0,0.0,false,0,23.437,1.3033,1515,99.7,true,true
Clemson::gyanransford,"Gyan, Ransford",Clemson,ACC,2025,10,17,1317,8,8,52,25,0,0.0,false,0,22.747,1.2452,1634,99.7,true,true
UCF::awoudorclarence,"Awoudor, Clarence",UCF,Sun Belt,2025,10,19,1629,6,12,52,25,0,0.0,false,0,22.333,1.0404,1607,98.7,true,true
UCF::ricollilian,"Ricol, Lilian",UCF,Sun Belt,2025,20,19,1365,12,4,48,28,0,0.0,false,0,22.309,1.1906,1607,99.6,true,true
Washington::amanrichie,"Aman, Richie",Washington,Big Ten,2025,10,24,1956,4,14,34,15,0,0.0,false,0,21.776,0.8782,1690,97,true,true
Washington::ramseyzach,"Ramsey, Zach",Washington,Big Ten,2025,6,24,1855,8,8,44,20,0,0.0,false,0,21.415,0.9026,1690,97.4,true,true
Maryland::njikestephane,"Njike, Stephane",Maryland,Big Ten,2025,77,19,1331,7,7,54,22,0,0.0,false,0,20.951,1.1447,1639,99.4,true,true
SMU::soghomonianstephan,"Soghomonian, Stephan",SMU,ACC,2025,30,20,971,13,1,46,25,0,0.0,false,0,20.878,1.4300,1672,99.8,true,true
North Carolina::abealnacho,"Abeal, Nacho",North Carolina,ACC,2025,7,19,1534,7,7,48,25,0,0.0,false,0,20.313,0.9986,1638,98.6,true,true
Virginia::simmondsnicholas,"Simmonds, Nicholas",Virginia,ACC,2025,7,18,1221,10,4,46,16,0,0.0,false,0,20.104,1.1744,1660,99.5,true,true
Washington::hallalex,"Hall, Alex",Washington,Big Ten,2025,7,24,1905,5,8,44,23,0,0.0,false,0,20.039,0.8308,1690,96.1,true,true
Maryland::maserekasadam,"Masereka, Sadam",Maryland,Big Ten,2025,7,19,1508,9,5,45,19,0,0.0,false,0,19.381,0.9690,1639,98.1,true,true
Hofstra::goddardlaurie,"Goddard, Laurie",Hofstra,CAA,2025,27,15,1147,11,4,50,26,0,0.0,false,0,19.353,1.1865,1505,99.6,true,true
Hofstra::burkodaniel,"Burko, Daniel",Hofstra,CAA,2025,21,15,1244,10,4,46,29,0,0.0,false,0,19.226,1.1118,1505,99.2,true,true
High Point::lugodaniel,"Lugo, Daniel",High Point,Big South,2025,9,19,1147,12,5,42,25,0,0.0,false,0,19.207,1.1783,1524,99.5,true,true
Fordham::dippolitodaniel,"D'Ippolito, Daniel",Fordham,Atlantic 10,2025,10,17,1417,6,9,56,21,0,0.0,false,0,18.756,0.9861,1499,98.4,true,true
Denver::mcgowankyle,"McGowan, Kyle",Denver,West Coast,2025,17,22,1458,11,3,36,18,0,0.0,false,0,18.552,0.9553,1631,98,true,true
