identity,player_name,team,conference,season,jersey_number,games,minutes,goals,assists,shots,shots_on_goal,saves,goals_against,is_keeper,keeper_games,impact,impact_per90,opponent_strength,rating,qualified,division_one
California Baptist::apodacaaidan,"Apodaca, Aidan",California Baptist,Pac-12,2017,11,20,1390,30,5,109,61,0,0.0,false,0,34.977,1.7857,1273,100,true,true
Wisconsin::muellerchris,"Mueller, Chris",Wisconsin,Big Ten,2017,10,21,1703,8,17,69,27,0,0.0,false,0,29.311,1.2893,1561,99.9,true,true
Notre Dame::jongallagher,Jon Gallagher,Notre Dame,ACC,2017,10,19,1703,13,2,91,47,0,0.0,false,0,28.255,1.2451,1611,99.8,true,true
NJIT::guirassymamadou,"GUIRASSY, Mamadou",NJIT,America East,2017,9,19,1620,16,3,89,45,0,0.0,false,0,26.747,1.2295,1434,99.8,true,true
Radford::robertskieran,"Roberts, Kieran",Radford,Big South,2017,7,18,1647,15,1,98,51,0,0.0,false,0,26.210,1.1906,1444,99.7,true,true
Central Arkansas::brodackiniklas,"Brodacki, Niklas",Central Arkansas,ASUN,2017,9,21,1801,17,5,66,40,0,0.0,false,0,25.288,1.0723,1399,99.2,true,true
Creighton::lopezespinricky,"Lopez-Espin, Ricky",Creighton,Big East,2017,7,19,1501,14,3,68,35,0,0.0,false,0,23.799,1.1685,1503,99.7,true,true
St. Thomas::bottumshae,"Bottum, Shae",St. Thomas,Summit,2017,19,23,1883,9,13,88,41,0,0.0,false,0,23.309,0.9583,1281,98.3,true,true
Lehigh::forrestmark,"Forrest, Mark",Lehigh,Patriot,2017,9,17,1472,14,5,66,33,0,0.0,false,0,23.175,1.1569,1423,99.6,true,true
Seattle::roldanalex,"Roldan, Alex",Seattle,West Coast,2017,23,21,1853,6,7,91,43,0,0.0,false,0,22.960,0.9571,1486,98.3,true,true
Western Michigan::byebrandon,"BYE, Brandon",Western Michigan,Missouri Valley,2017,19,20,1719,12,4,84,43,0,0.0,false,0,22.803,1.0097,1471,98.9,true,true
FIU::patinosantiago,"Patino, Santiago",FIU,American,2017,7,16,1032,14,5,49,25,0,0.0,false,0,22.392,1.4529,1527,99.9,true,true
Clemson::diegocampos,Diego Campos,Clemson,ACC,2017,10,15,940,9,8,55,22,0,0.0,false,0,22.318,1.5442,1568,99.9,true,true
Radford::daehliesivert,"Daehlie, Sivert",Radford,Big South,2017,10,18,1506,12,6,61,32,0,0.0,false,0,22.219,1.0928,1444,99.4,true,true
University of Evansville::mcgrathian,"McGrath, Ian",University of Evansville,Missouri Valley,2017,8,20,1686,12,5,71,37,0,0.0,false,0,21.554,0.9727,1423,98.6,true,true
Butler::guhlbrandon,"Guhl, Brandon",Butler,Big East,2017,11,21,1741,13,5,37,24,0,0.0,false,0,21.500,0.9461,1567,98.1,true,true
UC Irvine::godoygiovanni,"Godoy, Giovanni",UC Irvine,Big West,2017,7,20,1399,14,3,66,31,0,0.0,false,0,21.377,1.1151,1470,99.5,true,true
Indiana::toyemason,"TOYE, Mason",Indiana,Big Ten,2017,8,26,1535,10,2,75,36,0,0.0,false,0,20.694,1.0077,1561,98.8,true,true
SMU::mclaughlingarrett,"McLaughlin, Garrett",SMU,ACC,2017,7,19,1348,13,3,47,35,0,0.0,false,0,20.670,1.1113,1478,99.5,true,true
Dayton::taneskirok,"Taneski, Rok",Dayton,Atlantic 10,2017,10,20,1481,10,8,59,26,0,0.0,false,0,20.599,1.0315,1443,99.1,true,true
Boston College::enstromsimon,"Enstrom, Simon",Boston College,ACC,2017,9,17,1478,9,4,64,29,0,0.0,false,0,20.379,1.0228,1610,99.1,true,true
Akron::gainfordsam,"GAINFORD, Sam",Akron,Big East,2017,7,24,1138,10,5,50,24,0,0.0,false,0,20.310,1.2379,1565,99.8,true,true
Wake Forest::jonbakero,Jon Bakero,Wake Forest,ACC,2017,7,14,927,10,9,36,22,0,0.0,false,0,20.287,1.4261,1569,99.9,true,true
Stanford::langsdorffoster,"Langsdorf, Foster",Stanford,ACC,2017,2,17,1359,9,6,52,25,0,0.0,false,0,20.134,1.0779,1562,99.3,true,true
