game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2017-08-11-Maryland-(exhibition)-St.-John's,2017-08-11,Maryland,St. John's,false,false,2,1,away,final,,,,2017-08-11-Maryland-St.-John's,exhibition
sidearm-2017-08-11-Xavier-Marian-(Ind.),2017-08-11,Xavier,Marian (Ind.),false,false,3,0,home,final,,https://goxavier.com/sports/mens-soccer/stats/2017/marian-ind-/boxscore/6837,,2017-08-11-Marian-(Ind.)-Xavier,regular
sidearm-2017-08-11-Presbyterian-Georgia-Southern-(exh.),2017-08-11,Presbyterian,Georgia Southern,false,false,1,1,home,final,,,,2017-08-11-Georgia-Southern-Presbyterian,exhibition
sidearm-2017-08-11-Detroit-Mercy-Cincinnati-(Exh.),2017-08-11,Detroit Mercy,Cincinnati,false,false,3,1,unknown,final,,,,2017-08-11-Cincinnati-Detroit-Mercy,exhibition
sidearm-2017-08-11-Belmont-University-Faulkner,2017-08-11,Belmont University,Faulkner,false,false,5,2,unknown,final,,,,2017-08-11-Belmont-University-Faulkner,regular
wmt-2017-08-12-Clemson-UAB,2017-08-12,UAB,Clemson,false,false,0,3,away,final,https://clemsontigers.com/sports/mens-soccer/schedule,,,2017-08-12-Clemson-UAB,regular
sidearm-2017-08-12-Louisville-LIPSCOMB-(EX),2017-08-12,Louisville,Lipscomb,false,false,1,0,home,final,,https://gocards.com/sports/mens-soccer/stats/2017/lipscomb-ex-/boxscore/13983,https://lipscombsports.com/sports/mens-soccer/stats/2017/louisville/boxscore/7988,2017-08-12-Lipscomb-Louisville,exhibition
sidearm-2017-08-12-Missouri-State-Missouri-Valley-College,2017-08-12,Missouri State,Missouri Valley College,false,false,1,0,home,final,,,,2017-08-12-Missouri-State-Missouri-Valley-College,regular
sidearm-2017-08-12-Dayton-Bowling-Green-(Exhibition),2017-08-12,Dayton,Bowling Green,false,false,1,1,unknown,final,,,,2017-08-12-Bowling-Green-Dayton,exhibition
sidearm-2017-08-12-Loyola-Chicago-Milwaukee-(Exhibition),2017-08-12,Loyola Chicago,Milwaukee,false,false,2,2,away,final,,https://mkepanthers.com/sports/mens-soccer/stats/2017/loyola-chicago/boxscore/7565,,2017-08-12-Loyola-Chicago-Milwaukee,exhibition
sidearm-2017-08-12-Saint-Louis-Kansas-City,2017-08-12,Saint Louis,Kansas City,false,false,0,3,away,final,,,,2017-08-12-Kansas-City-Saint-Louis,regular
