player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
hofstra:carmichaelryan,"Carmichael, Ryan",Hofstra,18,22,1747,15,9,72,34,0
saintlouis:bechersimon,"Becher, Simon",Saint Louis,9,20,1414,14,9,62,36,0
hofstra:vowinkelmatthew,"Vowinkel, Matthew",Hofstra,21,22,1784,13,9,63,35,0
uncgreensboro:collombtheo,"Collomb, Theo",UNC Greensboro,9,17,1114,15,5,66,31,0
duke:ulfarssonthorleifur,"Ulfarsson, Thorleifur",Duke,7,22,1234,16,2,60,30,0
airforce:tragertristan,"Trager, Tristan",Air Force,10,18,1369,13,7,61,30,0
washington:tevesdylan,"Teves, Dylan",Washington,9,20,1681,12,7,60,30,0
cornell:bagleytyler,"Bagley, Tyler",Cornell,12,15,1114,12,7,49,28,0
mercer:gaitherdylan,"Gaither, Dylan",Mercer,10,19,1423,13,4,49,34,0
mercyhurst:wardensidney,"Warden, Sidney",Mercyhurst,10,12,874,13,4,38,22,0
hofstra:hebbekerhendrik,"Hebbeker, Hendrik",Hofstra,11,22,1572,9,11,50,26,0
saintlouis:kleinjohn,"Klein, John",Saint Louis,10,19,1368,7,15,38,23,0
oakland:jensennoah,"Jensen, Noah",Oakland,5,21,1930,8,12,62,25,0
duquesne:hopfermaxi,"Hopfer, Maxi",Duquesne,10,18,1476,11,6,77,36,0
wakeforest:holcombkyle,"Holcomb, Kyle",Wake Forest,3,21,1449,12,4,48,30,0
clevelandstate:kolevskibojan,"Kolevski, Bojan",Cleveland State,9,15,1282,12,4,38,18,0
louisville:camaraaboubacar,"Camara, Aboubacar",Louisville,9,18,1251,13,2,50,25,0
creighton:gutierrezdiego,"Gutierrez, Diego",Creighton,11,20,1618,10,7,62,27,0
californiabaptist:iliohanbryan,"Iliohan, Bryan",California Baptist,14,18,1160,13,1,47,28,0
fairfield:filipejonathan,"Filipe, Jonathan",Fairfield,9,17,1532,10,6,56,29,0
ucsantabarbara:ballardmcbridefinn,"Ballard McBride, Finn",UC Santa Barbara,11,22,1506,10,6,36,18,0
marshall:dolabellapedro,"Dolabella, Pedro",Marshall,10,17,1481,10,6,35,18,0
drexel:donovanchris,"Donovan, Chris",Drexel,7,17,1367,12,2,60,32,0
njit:whiterene,"White, Rene",NJIT,9,15,1254,11,4,34,15,0
northernillinois:markanichnick,"Markanich, Nick",Northern Illinois,13,12,974,12,2,59,30,0
tulsa:meinhardalex,"Meinhard, Alex",Tulsa,15,18,951,12,2,49,31,0
rideruniversity:alibouzaki,"Alibou, Zaki",Rider University,9,20,1764,10,5,88,34,0
northernkentucky:randalljesse,"Randall, Jesse",Northern Kentucky,9,17,1441,10,5,67,32,0
quinnipiac:aasenbrage,"Aasen, Brage",Quinnipiac,13,17,1287,11,3,56,36,0
campbell:youngtyler,"Young, Tyler",Campbell,13,17,1170,8,9,43,19,0
notredame:lynnjack,"Lynn, Jack",Notre Dame,27,23,1681,10,4,72,30,0
louisville:fonsecapedro,"Fonseca, Pedro",Louisville,10,18,1492,8,8,66,26,0
loyolachicago:hencybilly,"Hency, Billy",Loyola Chicago,7,13,1102,8,8,37,13,0
ucf:douradolucca,"Dourado, Lucca",UCF,22,14,840,11,2,35,15,0
oakland:kettemanmikey,"Ketteman, Mikey",Oakland,11,21,1699,10,3,39,20,0
ucdavis:arfstenmaximilian,"Arfsten, Maximilian",UC Davis,11,20,1523,8,7,56,29,0
umbc:calheirataylor,"Calheira, Taylor",UMBC,15,19,1517,9,5,49,25,0
princeton:otoolekevin,"O'Toole, Kevin",Princeton,6,18,1451,7,9,56,25,0
