game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
wmt-2021-02-12-Pacific-Stanford,2021-02-12,Stanford,Pacific,false,false,4,0,home,final,https://gostanford.com/sports/mens-soccer/schedule,https://gostanford.com/boxscore/7234,,2021-02-12-Pacific-Stanford,regular
sidearm-2021-08-10-Forward-Madison-FC-(Exh)-Wisconsin,2021-08-10,Forward Madison FC,Wisconsin,false,false,1,1,away,final,,,,2021-08-10-Forward-Madison-FC-Wisconsin,exhibition
sidearm-2021-08-12-#25-Coastal-Carolina-(EXH)-Duke,2021-08-12,Coastal Carolina,Duke,true,false,1,1,away,final,,,,2021-08-12-Coastal-Carolina-Duke,exhibition
sidearm-2021-08-12-Xavier-Wright-State,2021-08-12,Xavier,Wright State,false,false,1,1,home,final,,,,2021-08-12-Wright-State-Xavier,regular
sidearm-2021-08-13-California-Sacramento-State,2021-08-13,California,Sacramento State,false,false,0,0,home,final,,,,2021-08-13-California-Sacramento-State,regular
wmt-2021-08-13-Charlotte-Virginia-Tech,2021-08-13,Virginia Tech,Charlotte,true,true,0,1,home,final,https://hokiesports.com/sports/mens-soccer/schedule,,,2021-08-13-Charlotte-Virginia-Tech,regular
sidearm-2021-08-13-Omaha-Missouri-State,2021-08-13,Omaha,Missouri State,false,false,,,neutral,scheduled,,,,2021-08-13-Missouri-State-Omaha,regular
sidearm-2021-08-13-Tulsa-Richland-Junior-College,2021-08-13,Tulsa,Richland Junior College,false,false,5,2,home,final,,,,2021-08-13-Richland-Junior-College-Tulsa,regular
sidearm-2021-08-13-Duquesne-West-Virginia-(exhib.),2021-08-13,Duquesne,West Virginia,false,false,,,unknown,scheduled,,,,2021-08-13-Duquesne-West-Virginia,exhibition
sidearm-2021-08-13-DePaul-Milwaukee,2021-08-13,DePaul,Milwaukee,false,false,2,1,home,final,,https://depaulbluedemons.com/sports/mens-soccer/stats/2021/milwaukee/boxscore/5046,,2021-08-13-DePaul-Milwaukee,regular
sidearm-2021-08-13-Rutgers-(Exhibition)-St.-John's,2021-08-13,Rutgers,St. John's,false,false,2,2,away,final,,,,2021-08-13-Rutgers-St.-John's,exhibition
sidearm-2021-08-13-Bowling-Green-(ex)-Michigan,2021-08-13,Bowling Green,Michigan,false,false,,,away,scheduled,,,,2021-08-13-Bowling-Green-Michigan,exhibition
sidearm-2021-08-13-Western-Michigan-Brown-&-Gold-Game,2021-08-13,Western Michigan,Brown & Gold Game,false,false,,,unknown,scheduled,,,,2021-08-13-Brown-&-Gold-Game-Western-Michigan,regular
sidearm-2021-08-14-UNCW-(EXH)-Duke,2021-08-14,UNC Wilmington,Duke,false,false,2,4,away,final,,https://goduke.com/sports/mens-soccer/stats/2021/uncw-exh-/boxscore/19887,,2021-08-14-Duke-UNC-Wilmington,exhibition
sidearm-2021-08-14-UAB-(Exhibition)-Louisville,2021-08-14,UAB,Louisville,false,false,1,4,away,final,,,,2021-08-14-Louisville-UAB,exhibition
wmt-2021-08-14-CSU-Bakersfield-Stanford,2021-08-14,Stanford,CSU Bakersfield,false,false,4,0,home,final,https://gostanford.com/sports/mens-soccer/schedule,,,2021-08-14-CSU-Bakersfield-Stanford,regular
sidearm-2021-08-14-Syracuse-Canisius,2021-08-14,Syracuse,Canisius,false,false,,,home,scheduled,,,,2021-08-14-Canisius-Syracuse,regular
wmt-2021-08-14-Navy-Virginia,2021-08-14,Virginia,Navy,false,false,,,home,postponed,https://virginiasports.com/sports/msoc/schedule,,,2021-08-14-Navy-Virginia,regular
sidearm-2021-08-14-Maryland-Temple-University,2021-08-14,Maryland,Temple University,false,false,2,2,away,final,,,,2021-08-14-Maryland-Temple-University,regular
sidearm-2021-08-14-Central-Arkansas-Christian-Brothers,2021-08-14,Central Arkansas,Christian Brothers,false,false,,,unknown,scheduled,,,,2021-08-14-Central-Arkansas-Christian-Brothers,regular
sidearm-2021-08-14-Jacksonville-Southeastern,2021-08-14,Jacksonville,Southeastern,false,false,,,unknown,scheduled,,,,2021-08-14-Jacksonville-Southeastern,regular
sidearm-2021-08-14-North-Florida-Trinity-Baptist,2021-08-14,North Florida,Trinity Baptist,false,false,,,home,scheduled,,,,2021-08-14-North-Florida-Trinity-Baptist,regular
sidearm-2021-08-14-Loyola-Chicago-Green-Bay,2021-08-14,Loyola Chicago,Green Bay,false,false,2,0,away,final,,,,2021-08-14-Green-Bay-Loyola-Chicago,regular
sidearm-2021-08-14-VCU-James-Madison-(Exhibition),2021-08-14,VCU,James Madison,false,false,,,home,scheduled,,,,2021-08-14-James-Madison-VCU,exhibition
sidearm-2021-08-14-Akron-Niagara,2021-08-14,Akron,Niagara,false,false,3,2,home,final,,,,2021-08-14-Akron-Niagara,regular
sidearm-2021-08-14-Kansas-City-Creighton,2021-08-14,Kansas City,Creighton,false,false,2,2,away,final,,https://gocreighton.com/sports/mens-soccer/stats/2021/kansas-city/boxscore/14434,https://kcroos.com/sports/mens-soccer/stats/2021/creighton-exh-/boxscore/6992,2021-08-14-Creighton-Kansas-City,regular
