player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
washington:ramseyzach,"Ramsey, Zach",Washington,6,4,223,6,1,11,8,0
quinnipiac:limtaehyeon,"Lim, Taehyeon",Quinnipiac,10,3,254,4,2,11,7,0
louisville:zizzagiacomo,"Zizza, Giacomo",Louisville,10,4,328,4,1,16,11,0
marquette:adewumitomiwa,"Adewumi, Tomiwa",Marquette,21,4,252,4,1,8,4,0
westernillinois:frostgeorge,"Frost , George",Western Illinois,9,3,125,4,1,8,4,0
indiana:mollerjensenoliver,"Moller-Jensen, Oliver",Indiana,8,4,323,3,2,20,7,0
vmi:mejiayeirin,"Mejia, Yeirin",VMI,7,6,322,4,0,14,7,0
lindenwood:bartoniluca,"Bartoni, Luca",Lindenwood,11,4,289,4,0,10,7,0
northeastern:kokortay,"Koç, Kortay",Northeastern,7,4,281,4,0,15,7,0
liberty:kpardehsamson,"Kpardeh, Samson",Liberty,10,3,270,4,0,16,7,0
duke:bjornssonulfur,"Bjornsson, Ulfur",Duke,9,4,261,3,2,11,7,0
northeastern:duaxtate,"Duax, Tate",Northeastern,32,4,207,2,4,3,3,0
uconn:langfordelijah,"Langford, Elijah",UConn,9,4,202,4,0,9,6,0
southcarolina:velazquezlopezalejandro,"Velazquez-Lopez, Alejandro",South Carolina,10,3,200,3,2,8,4,0
ohiostate:chisolmisaiah,"Chisolm, Isaiah",Ohio State,9,3,189,4,0,9,5,0
smu:emmanuelmukisa,"Emmanuel, Mukisa",SMU,20,4,180,4,0,11,5,0
creighton:igwenmajordan,"Igwenma, Jordan",Creighton,12,4,157,3,2,7,3,0
southcarolina:lopezangel,"Lopez, Angel",South Carolina,9,3,155,3,2,6,4,0
lasalle:faustgabe,"Faust, Gabe",La Salle,29,3,146,4,0,7,6,0
providence:ventrellaangelo,"Ventrella, Angelo",Providence,7,4,323,2,3,10,5,0
creighton:reedmatthew,"Reed, Matthew",Creighton,2,4,289,3,1,6,6,0
georgetown:bakermitchell,"Baker, Mitchell",Georgetown,9,4,275,3,1,11,8,0
smu:mitchelljaylinn,"Mitchell, Jaylinn",SMU,7,4,272,1,5,9,4,0
sandiego:ramirezsteven,"Ramirez, Steven",San Diego,9,4,268,3,1,14,5,0
michiganstate:connehleo,"Conneh, Leo",Michigan State,23,4,260,2,3,11,5,0
depaul:hernandeznoeh,"Hernandez, Noeh",DePaul,10,4,258,3,1,9,4,0
wisconsin:hrvojevicmarkie,"Hrvojevic, Markie",Wisconsin,9,4,249,3,1,10,8,0
siena:almeidalucas,"Almeida, Lucas",Siena,7,3,241,3,1,6,5,0
ucirvine:lyonsgage,"Lyons, Gage",UC Irvine,11,3,238,3,1,14,11,0
michigan:elmquistgrayson,"Elmquist, Grayson",Michigan,9,3,215,3,1,11,8,0
sandiegostate:aguirregio,"Aguirre, Gio",San Diego State,23,4,207,2,3,8,6,0
hofstra:carlmanbastian,"Carlman, Bastian",Hofstra,7,3,206,3,1,9,7,0
oakland:kurzawacal,"Kurzawa, Cal",Oakland,12,3,204,3,1,7,6,0
southcarolina:sanykongloic,"Sany Kong, Loic",South Carolina,11,3,177,3,1,9,4,0
georgewashington:dubonjaden,"Dubon, Jaden",George Washington,8,3,172,3,1,4,3,0
kansascity:kistmannraphael,"Kistmann, Raphael",Kansas City,20,2,147,3,1,7,5,0
charleston:lenertmatt,"Lenert, Matt",Charleston,11,2,146,3,1,6,4,0
longwood:bedollabrando,"Bedolla, Brando",Longwood,10,2,119,2,3,6,5,0
michiganstate:okeefeconner,"O'Keefe, Conner",Michigan State,4,4,352,3,0,5,4,0
westernmichigan:geromelvitor,"Geromel, Vitor",Western Michigan,10,4,347,3,0,8,5,0
marquette:konradhorgienmads,"Konrad Horgøien, Mads",Marquette,9,4,334,2,2,3,2,0
marquette:stokamateo,"Stoka, Mateo",Marquette,6,4,314,1,4,3,1,0
michiganstate:munsonbrandon,"Munson, Brandon",Michigan State,5,4,276,2,2,6,3,0
furman:hernandezdiego,"Hernandez, Diego",Furman,10,4,274,3,0,9,7,0
indiana:bogardeaston,"Bogard, Easton",Indiana,14,4,272,3,0,9,6,0
memphis:syriorenan,"Syrio, Renan",Memphis,9,4,258,2,2,3,2,0
duquesne:rasmussenmarko,"Rasmussen, Marko",Duquesne,11,4,240,3,0,10,5,0
fdu:peladejeremie,"PELADE, JEREMIE",FDU,9,3,239,3,0,8,6,0
smu:lopezmilton,"Lopez, Milton",SMU,10,4,235,2,2,9,4,0
michiganstate:soudanpeter,"Soudan, Peter",Michigan State,17,4,227,2,2,7,2,0
sanjosestate:anwaryamir,"Anwary, Amir",San Jose State,23,3,212,2,2,3,3,0
drake:carlsonevan,"Carlson, Evan",Drake,11,4,201,3,0,5,4,0
sandiegostate:orthnik,"Orth, Nik",San Diego State,17,4,196,3,0,9,6,0
syracuse:rodriguezbryson,"Rodriguez, Bryson",Syracuse,11,4,193,2,2,6,4,0
missouristate:realdiego,"Real, Diego",Missouri State,10,3,191,2,2,6,3,0
oregonstate:borsowyatt,"Borso, Wyatt",Oregon State,9,3,190,3,0,10,6,0
umbc:kamaraabdul,"Kamara, Abdul",UMBC,10,3,189,3,0,12,4,0
ucdavis:sanchezgabe,"Sanchez, Gabe",UC Davis,15,3,156,3,0,5,3,0
vermont:ismaildavid,"Ismail, David",Vermont,13,2,152,3,0,8,7,0
stanford:tsopanogloulogan,"Tsopanoglou, Logan",Stanford,20,4,150,3,0,6,5,0
ucsandiego:stuppeloren,"Stuppel, Oren",UC San Diego,18,3,143,3,0,7,5,0
creighton:tavarescarter,"Tavares, Carter",Creighton,11,3,134,2,2,9,4,0
oregonstate:eisenbergmax,"Eisenberg, Max",Oregon State,7,3,129,2,2,7,3,0
seattle:notzkaalex,"Notzka, Alex",Seattle,13,3,117,3,0,4,4,0
olddominion:purksjason,"Purks, Jason",Old Dominion,18,3,96,3,0,5,4,0
vmi:leejesse,"Lee, Jesse",VMI,17,6,393,2,1,10,3,0
vmi:moorejaden,"Moore, Jaden",VMI,18,6,340,2,1,14,5,0
fgcu:martinezaron,"Martinez, Aron",FGCU,11,4,324,2,1,10,7,0
washington:hallalex,"Hall, Alex",Washington,7,4,305,1,3,11,5,0
northeastern:schmidtwill,"Schmidt, Will",Northeastern,16,4,298,2,1,14,8,0
fau:csatoxavi,"Csato, Xavi",FAU,18,4,287,2,1,6,2,0
gonzaga:hammondcarson,"Hammond, Carson",Gonzaga,3,4,286,2,1,5,4,0
fau:jesusdavid,"Jesus, David",FAU,29,4,279,1,3,3,1,0
duke:ottleyjack,"Ottley, Jack",Duke,11,4,278,1,3,5,2,0
memphis:mcintyreeben,"McIntyre, Eben",Memphis,10,4,273,2,1,4,4,0
siena:perezjordaalejandro,"Perez Jorda, Alejandro",Siena,22,3,270,2,1,4,3,0
loyolachicago:stewartseth,"Stewart, Seth",Loyola Chicago,8,3,259,2,1,4,3,0
michiganstate:merrittmiles,"Merritt, Miles",Michigan State,8,4,255,2,1,5,4,0
pacific:yangyuorujosephat,"Yangyuoru, Josephat",Pacific,7,4,253,2,1,5,4,0
virginia:smithaj,"Smith, AJ",Virginia,9,4,249,2,1,5,2,0
fau:tentchoumichel,"Tentchou, Michel",FAU,23,4,243,2,1,5,3,0
michiganstate:spadaforaluke,"Spadafora, Luke",Michigan State,11,4,242,1,3,3,1,0
smu:hickamlandon,"Hickam, Landon",SMU,16,4,233,2,1,10,6,0
fgcu:laordenemerson,"LaOrden, Emerson",FGCU,22,4,229,2,1,4,4,0
pennstate:koneamadou,"Kone, Amadou",Penn State,42,3,228,2,1,5,3,0
notredame:caprettomichael,"Capretto, Michael",Notre Dame,15,4,227,2,1,8,4,0
sanfrancisco:easleyisaiah,"Easley, Isaiah",San Francisco,10,4,221,2,1,7,3,0
wisconsin:zachemskimatthew,"Zachemski, Matthew",Wisconsin,8,4,220,2,1,6,4,0
mercyhurst:silvaalvar,"Silva, Alvar",Mercyhurst,10,3,220,2,1,5,4,0
rhodeisland:harristheo,"Harris, Theo",Rhode Island,18,3,218,2,1,6,3,0
bryant:gehobrady,"Geho, Brady",Bryant,20,3,216,2,1,13,7,0
gonzaga:pedersendrew,"Pedersen, Drew",Gonzaga,9,4,212,2,1,11,7,0
clemson:sevianxander,"Sevian, Xander",Clemson,28,3,212,2,1,7,4,0
olddominion:rourkelewis,"Rourke, Lewis",Old Dominion,9,3,212,2,1,8,6,0
southcarolina:habelmika,"Habel, Mika",South Carolina,6,3,208,1,3,2,1,0
bostoncollege:mafongdylan,"Mafong, Dylan",Boston College,10,3,207,2,1,9,5,0
michiganstate:darakdjianandrew,"Darakdjian, Andrew",Michigan State,9,4,199,2,1,9,6,0
hofstra:keanesean,"Keane, Sean",Hofstra,15,3,197,2,1,2,2,0
wisconsin:vanheukelumluke,"Van Heukelum, Luke",Wisconsin,44,4,193,1,3,5,2,0
sanfrancisco:raphaeldavid,"Raphael, David",San Francisco,98,4,192,2,1,11,7,0
creighton:juarezallan,"Juarez, Allan",Creighton,19,4,183,2,1,7,3,0
rutgers:kitchandrew,"Kitch, Andrew",Rutgers,9,3,180,2,1,4,2,0
omaha:fowlkesamari,"Fowlkes, Amari",Omaha,8,3,177,2,1,3,3,0
bostoncollege:torobryan,"Toro, Bryan",Boston College,16,3,175,1,3,7,4,0
utahvalley:graunil,"Grau, Nil",Utah Valley,9,3,170,2,1,5,3,0
vermont:houssniislam,"Houssni, Islam",Vermont,4,2,170,1,3,3,2,0
syracuse:greyjordan,"Grey, Jordan",Syracuse,18,4,169,2,1,5,3,0
creighton:lopezangel,"Lopez, Angel",Creighton,9,4,158,2,1,4,2,0
stonehillcollege:dohertykillian,"Doherty, Killian",Stonehill College,39,3,154,2,1,6,3,0
depaul:kutchmason,"Kutch, Mason",DePaul,26,4,152,2,1,5,3,0
elon:flowersjahmir,"Flowers, Jahmir",Elon,23,3,146,2,1,8,4,0
stjohns:birkelundeiebrage,"Birkelund Eie, Brage",St. John's,20,2,140,2,1,4,2,0
gonzaga:steindashiell,"Stein, Dashiell",Gonzaga,23,4,132,2,1,10,6,0
ucsandiego:namdarryan,"Namdar, Ryan",UC San Diego,10,3,119,2,1,6,4,0
longwood:campbelljoshwa,"Campbell, Joshwa",Longwood,23,2,114,2,1,5,4,0
dayton:pintoantonio,"Pinto, Antonio",Dayton,11,4,72,2,1,4,4,0
lasalle:sugiurakeiji,"Sugiura, Keiji",La Salle,37,2,71,1,3,7,4,0
williammary:huffardbrown,"Huffard, Brown",William & Mary,9,3,67,2,1,4,3,0
notredame:walentvlad,"Walent, Vlad",Notre Dame,19,4,360,2,0,4,2,0
washington:bertosharrison,"Bertos, Harrison",Washington,3,4,356,2,0,3,3,0
washington:akulovegor,"Akulov, Egor",Washington,4,4,356,2,0,4,3,0
northwestern:mayerbryant,"Mayer, Bryant",Northwestern,26,4,356,1,2,6,4,0
northernillinois:vasicluka,"Vasic, Luka",Northern Illinois,4,4,324,2,0,4,2,0
calpoly:pearcecolin,"Pearce, Colin",Cal Poly,6,4,323,1,2,4,1,0
sacramentostate:gileszac,"Giles, Zac",Sacramento State,19,4,323,1,2,14,7,0
marquette:buchananjoey,"Buchanan, Joey",Marquette,25,4,318,2,0,7,4,0
stanford:chowalex,"Chow, Alex",Stanford,10,4,297,1,2,3,2,0
stanford:pymmjack,"Pymm, Jack",Stanford,8,4,286,2,0,17,7,0
dayton:lijewskicooper,"Lijewski, Cooper",Dayton,12,4,283,2,0,7,5,0
