player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
californiabaptist:apodacaaidan,"Apodaca, Aidan",California Baptist,11,21,1455,31,5,117,64,0
lemoynecollege:webermarek,"Weber, Marek",Le Moyne College,11,18,1581,18,2,56,31,0
njit:guirassymamadou,"Guirassy, Mamadou",NJIT,9,19,1620,16,3,89,45,0
fiu:patinosantiago,"Patino, Santiago",FIU,7,17,1071,15,5,50,26,0
wisconsin:muellerchris,"Mueller, Chris",Wisconsin,10,21,1703,8,17,69,27,0
lehigh:forrestmark,"Forrest, Mark",Lehigh,9,17,1472,14,5,66,33,0
stthomas:oliverjustin,"Oliver, Justin",St. Thomas,11,23,1324,15,3,65,38,0
stthomas:bottumshae,"Bottum, Shae",St. Thomas,19,23,1883,9,13,88,41,0
butler:guhlbrandon,"Guhl, Brandon",Butler,11,21,1741,13,5,37,24,0
radford:robertskieran,"Roberts, Kieran",Radford,7,18,1647,15,1,98,51,0
creighton:lopezespinricky,"Lopez-Espin, Ricky",Creighton,7,19,1501,14,3,68,35,0
smu:mclaughlingarrett,"McLaughlin, Garrett",SMU,7,21,1478,14,3,49,37,0
ucirvine:godoygiovanni,"Godoy, Giovanni",UC Irvine,7,20,1399,14,3,66,31,0
radford:daehliesivert,"Daehlie, Sivert",Radford,10,18,1506,12,6,61,32,0
mercyhurst:makengochristopher,"Makengo, Christopher",Mercyhurst,7,16,1353,12,6,75,26,0
clemson:diegocampos,Diego Campos,Clemson,10,19,1252,10,9,68,27,0
gardnerwebb:soerlieseverin,"Soerlie, Severin",Gardner-Webb,10,17,1182,11,7,42,24,0
wakeforest:jonbakero,Jon Bakero,Wake Forest,7,14,927,10,9,36,22,0
notredame:jongallagher,Jon Gallagher,Notre Dame,10,20,1793,13,2,92,48,0
westernmichigan:byebrandon,"BYE, Brandon",Western Michigan,19,20,1720,11,6,88,42,0
dayton:taneskirok,"Taneski, Rok",Dayton,10,20,1481,10,8,59,26,0
liberty:mendozakevin,"Mendoza, Kevin",Liberty,10,18,1453,12,4,41,21,0
mercyhurst:vankippersluisfjodor,"van Kippersluis, Fjodor",Mercyhurst,14,17,999,11,6,46,21,0
akron:holthusenstuart,"Holthusen, Stuart",Akron,9,24,1793,12,3,52,23,0
liberty:mbuyutresor,"Mbuyu, Tresor",Liberty,11,18,1398,11,5,54,33,0
campbell:donnellyjj,"DONNELLY, JJ",Campbell,14,19,1562,13,0,70,31,0
canisius:tamburinifilippo,"Tamburini, Filippo",Canisius,11,18,1307,11,4,40,21,0
centralarkansas:brodackiniklas,"Brodacki, Niklas",Central Arkansas,9,15,1298,12,2,47,26,0
gardnerwebb:moldjordmagnus,"Moldjord, Magnus",Gardner-Webb,7,17,1285,11,4,56,28,0
columbiauniversity:bosuaarthur,"Bosua, Arthur",Columbia University,9,16,1283,11,4,49,23,0
lipscomb:paynterlogan,"PAYNTER, Logan",Lipscomb,22,22,1665,10,5,53,21,0
grandcanyon:jacksonniki,"Jackson, Niki",Grand Canyon,9,19,1492,11,3,47,27,0
michigan:hallahanjack,"Hallahan, Jack",Michigan,11,20,1460,9,7,45,19,0
smu:cicheromauro,"Cichero, Mauro",SMU,14,15,1161,9,7,38,17,0
akron:gainfordsam,"Gainford, Sam",Akron,7,24,1138,10,5,50,24,0
lindenwood:ganzmichele,"Ganz, Michele",Lindenwood,22,16,1098,11,3,46,26,0
wisconsin:barlowtom,"Barlow, Tom",Wisconsin,11,21,1867,10,4,50,22,0
stanford:langsdorffoster,"Langsdorf, Foster",Stanford,2,17,1359,9,6,52,25,0
sanfrancisco:bowmansean,"BOWMAN, Sean",San Francisco,9,17,1284,11,2,42,23,0
fordham:loebejanos,"Loebe, Janos",Fordham,10,21,1892,7,9,64,20,0
notredame:jefffarina,Jeff Farina,Notre Dame,9,20,1805,8,7,46,23,0
mercer:bagrouwill,"Bagrou, Will",Mercer,9,16,1406,10,3,35,19,0
dayton:navarroalvaro,"Navarro, Alvaro",Dayton,8,18,1372,8,7,58,27,0
utahtech:medinamoises,"Medina, Moises",Utah Tech,9,9,591,10,3,30,16,0
merrimackcollege:sundlars,"Sund, Lars",Merrimack College,10,21,1879,6,10,49,23,0
robertmorris:winkelbayley,"WINKEL, Bayley",Robert Morris,22,18,1648,10,2,33,18,0
indiana:toyemason,"TOYE, Mason",Indiana,8,26,1535,10,2,75,36,0
bostoncollege:enstromsimon,"Enstrom, Simon",Boston College,9,17,1478,9,4,64,29,0
xavier:vasquenzamatt,"Vasquenza, Matt",Xavier,20,19,1441,9,4,64,29,0
army:eppsrex,"Epps, Rex",Army,9,17,1401,9,4,62,35,0
stonehillcollege:brancoadam,"Branco, Adam",Stonehill College,15,14,951,8,6,53,24,0
fiu:campoyalessandro,"Campoy, Alessandro",FIU,10,17,745,7,8,31,15,0
duke:whitebrian,"White, Brian",Duke,24,18,1591,9,3,60,31,0
setonhall:arcilaandres,"Arcila, Andres",Seton Hall,10,17,1406,9,3,38,24,0
northcarolina:lindleycam,"Lindley, Cam",North Carolina,6,16,1312,6,9,43,22,0
californiabaptist:chicajoey,"Chica, Joey",California Baptist,10,21,1279,6,9,63,29,0
stthomas:olivertyler,"Oliver, Tyler",St. Thomas,9,23,1243,6,9,30,20,0
washington:bwanahandwalla,"Bwana, Handwalla",Washington,24,15,1032,8,5,46,28,0
csun:usenjremmanuel,"Usen Jr., Emmanuel",CSUN,9,14,977,9,3,29,21,0
fordham:loebejannik,"Loebe, Jannik",Fordham,7,21,1871,8,4,60,24,0
vcu:amorosinofrancesco,"Amorosino, Francesco",VCU,23,19,1672,9,2,50,23,0
xavier:hestnessimen,"Hestnes, Simen",Xavier,10,19,1667,7,6,44,19,0
rideruniversity:otmanielliott,"Otmani, Elliott",Rider University,9,18,1624,9,2,53,27,0
westernmichigan:mcintoshjay,"McIntosh, Jay",Western Michigan,26,21,1606,5,10,47,19,0
butler:suddicklewis,"Suddick, Lewis",Butler,8,18,1540,6,8,40,17,0
dayton:helgasonthor,"Helgason, Thor",Dayton,2,18,1386,9,2,36,21,0
canisius:bradytroy,"Brady, Troy",Canisius,12,19,1268,9,2,41,21,0
ucirvine:canalesivan,"Canales, Ivan",UC Irvine,25,20,1251,8,4,32,15,0
utrgv:kosmidisilias,"Kosmidis, Ilias",UTRGV,9,16,1225,8,4,33,15,0
fiu:mariepaul,"Marie, Paul",FIU,3,16,1209,7,6,36,22,0
indiana:gutmanandrew,"GUTMAN, Andrew",Indiana,15,26,2469,7,5,47,19,0
wisconsin:catalanomike,"Catalano, Mike",Wisconsin,8,21,1897,9,1,45,23,0
seattle:roldanalex,"Roldan, Alex",Seattle,23,21,1853,6,7,91,43,0
rideruniversity:decastropablo,"DeCastro, Pablo",Rider University,7,19,1624,8,3,44,20,0
calstatefullerton:gonisamuel,"Goni, Samuel",Cal State Fullerton,9,23,1453,9,1,43,21,0
sandiegostate:meefoutjeroen,"Meefout, Jeroen",San Diego State,10,17,1350,7,5,43,17,0
lasalle:robinsonmatt,"Robinson, Matt",La Salle,6,18,1344,7,5,32,17,0
clemson:jasonwright,Jason Wright,Clemson,9,19,1314,8,3,43,18,0
northcarolina:pietersjelani,"Pieters, Jelani",North Carolina,26,16,1255,7,5,33,14,0
vcu:fattonluc,"Fatton, Luc",VCU,7,19,1218,9,1,38,14,0
