game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
wmt-2019-03-02-Northwestern-Notre-Dame,2019-03-02,Northwestern,Notre Dame,false,false,,,home,final,https://nusports.com/sports/mens-soccer/schedule,,,2019-03-02-Northwestern-Notre-Dame,regular
wmt-2019-03-10-Milwaukee-Northwestern,2019-03-10,Northwestern,Milwaukee,false,false,,,home,final,https://nusports.com/sports/mens-soccer/schedule,,,2019-03-10-Milwaukee-Northwestern,regular
wmt-2019-03-26-Northwestern-Real-Madrid-U18,2019-03-26,Real Madrid U18,Northwestern,false,false,,,away,final,https://nusports.com/sports/mens-soccer/schedule,,,2019-03-26-Northwestern-Real-Madrid-U18,regular
wmt-2019-03-29-Liverpool-U23-Northwestern,2019-03-29,Liverpool U23,Northwestern,false,false,,,away,final,https://nusports.com/sports/mens-soccer/schedule,,,2019-03-29-Liverpool-U23-Northwestern,regular
wmt-2019-04-06-DePaul-Northwestern,2019-04-06,Northwestern,DePaul,false,false,,,neutral,scheduled,https://nusports.com/sports/mens-soccer/schedule,,,2019-04-06-DePaul-Northwestern,regular
wmt-2019-04-14-NCAA-Championships-Northwestern,2019-04-14,Northwestern,NCAA Championships,false,false,,,home,scheduled,https://nusports.com/sports/mens-soccer/schedule,,,2019-04-14-NCAA-Championships-Northwestern,regular
wmt-2019-04-27-Northwestern-Xavier,2019-04-27,Xavier,Northwestern,false,false,,,away,scheduled,https://nusports.com/sports/mens-soccer/schedule,,,2019-04-27-Northwestern-Xavier,regular
sidearm-2019-08-15-Fordham-St.-John's-(Exhib.),2019-08-15,Fordham,St. John's,false,false,0,1,home,final,,,,2019-08-15-Fordham-St.-John's,exhibition
sidearm-2019-08-15-Manhattan-NY-Red-Bulls-II-(training),2019-08-15,Manhattan,NY Red Bulls II (training),false,false,,,unknown,scheduled,,,,2019-08-15-Manhattan-NY-Red-Bulls-II-(training),regular
sidearm-2019-08-15-Western-Michigan-Brown-&-Gold-Game,2019-08-15,Western Michigan,Brown & Gold Game,false,false,,,unknown,scheduled,,,,2019-08-15-Brown-&-Gold-Game-Western-Michigan,regular
sidearm-2019-08-15-Eastern-Illinois-Valparaiso-(exhib.),2019-08-15,Eastern Illinois,Valparaiso (exhib.),false,false,1,0,unknown,final,,,,2019-08-15-Eastern-Illinois-Valparaiso-(exhib.),exhibition
