game_id,team_id,player_name,player_key,jersey_number,minutes,goals,assists,shots,shots_on_goal,saves
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Keiller, Liam",howard:keillerliam,0,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Clarke, Bryson",howard:clarkebryson,5,87,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Campbell, Lucas",howard:campbelllucas,6,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"James, Corey",howard:jamescorey,7,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Mims, Justin",howard:mimsjustin,14,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Lloyd, Marshall",howard:lloydmarshall,15,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Simmons, Zach",howard:simmonszach,17,56,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Sharrieff, Khari",howard:sharrieffkhari,20,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Wimberly, Kamran",howard:wimberlykamran,23,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Perkins, Louis",howard:perkinslouis,24,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Kaban, Daniil",howard:kabandaniil,33,85,0,0,3,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Chicas, Axel",howard:chicasaxel,8,29,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Sharp, Xavier",howard:sharpxavier,18,5,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,Howard,"Hislop, Luka",howard:hislopluka,21,8,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Widrick, Eric",canceledduetocovid19:widrickeric,1,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Monath, Richard",canceledduetocovid19:monathrichard,2,90,0,0,10,3,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Schroeder, Jan",canceledduetocovid19:schroederjan,3,86,0,0,1,1,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Chatten, Luke",canceledduetocovid19:chattenluke,4,90,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Argueta, German",canceledduetocovid19:arguetagerman,8,78,0,0,6,1,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Flaskager, Frederik",canceledduetocovid19:flaskagerfrederik,9,27,0,0,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Penny, Liam",canceledduetocovid19:pennyliam,14,39,1,0,2,1,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Smith, Sean",canceledduetocovid19:smithsean,19,90,0,1,0,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Richards, Joe",canceledduetocovid19:richardsjoe,22,46,0,0,2,1,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Field, Beckett",canceledduetocovid19:fieldbeckett,26,57,0,0,4,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Flores, Edwin",canceledduetocovid19:floresedwin,29,90,0,0,1,1,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Jackson, Jayden",canceledduetocovid19:jacksonjayden,5,33,0,0,1,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Jeffreys, Freddy",canceledduetocovid19:jeffreysfreddy,10,44,0,0,2,2,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Kershner, Emmett",canceledduetocovid19:kershneremmett,17,63,0,0,2,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Jones, Luke",canceledduetocovid19:jonesluke,18,63,0,1,2,0,0
sidearm-2020-08-01-Howard-CANCELED-DUE-TO-COVID-19,CANCELED DUE TO COVID-19,"Kelly, Colin",canceledduetocovid19:kellycolin,21,4,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"FARRELLY, SENAN",notredame:farrellysenan,17,90,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"MCLAUGHLIN, KEAGAN",notredame:mclaughlinkeagan,1,90,0,0,0,0,4
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"MEYER, TOWNSEND",notredame:meyertownsend,18,86,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"ROENNECKE, SIMON",notredame:roenneckesimon,11,3,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"MCFADDEN, AIDEN",notredame:mcfaddenaiden,10,85,0,1,2,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"COLEMAN, PATRICK",notredame:colemanpatrick,13,82,0,0,1,1,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"SILVER, BRYAN",notredame:silverbryan,12,4,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"OMAR, MOHAMED",notredame:omarmohamed,29,90,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"LYNN, JACK",notredame:lynnjack,27,40,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"PELLEGRINO, MICHAEL",notredame:pellegrinomichael,6,82,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"ABUALNADI, MOHAMMAD",notredame:abualnadimohammad,5,83,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"MAYER, REESE",notredame:mayerreese,3,90,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"O'BRIEN, ETHAN",notredame:obrienethan,7,13,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"LYNCH, MICHAEL",notredame:lynchmichael,14,13,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"RADIVOJSA, MATTHEW",notredame:radivojsamatthew,8,77,0,0,4,1,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"BURNS, PADDY",notredame:burnspaddy,15,11,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Notre Dame,"RUSSO, DANIEL",notredame:russodaniel,16,50,1,0,1,1,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"VISCONTI, MASON",kentucky:viscontimason,11,47,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"ELMEDKHAR, KALIL",kentucky:elmedkharkalil,21,58,0,0,2,1,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"FACUSSE, ENRIQUE",kentucky:facusseenrique,1,90,0,0,0,0,2
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"JONES, LEON",kentucky:jonesleon,5,90,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"MABIKA, AIME",kentucky:mabikaaime,6,90,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"ROUSE, BAILEY",kentucky:rousebailey,18,90,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"EVANS, DANIEL",kentucky:evansdaniel,7,36,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"SCREEN, ROBERT",kentucky:screenrobert,2,90,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"BANDY, JOHN MICHAEL",kentucky:bandyjohnmichael,3,74,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"HOLSTAD, CLAY",kentucky:holstadclay,12,36,0,0,1,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"INNES, COLIN",kentucky:innescolin,16,38,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"MEINZER, MARCEL",kentucky:meinzermarcel,8,79,0,0,2,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"BJORGOLFSSON, EYTHOR",kentucky:bjorgolfssoneythor,9,82,0,0,2,2,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"GRASSOW, LUIS",kentucky:grassowluis,4,16,0,0,0,0,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"MCMANUS, BRANDON",kentucky:mcmanusbrandon,19,11,0,0,1,1,0
wmt-2020-09-17-Kentucky-Notre-Dame,Kentucky,"MAURIZ, ENZO",kentucky:maurizenzo,17,63,0,0,0,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Tyson, Paul",georgiastate:tysonpaul,1,90,0,0,0,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Finnie, Ross",georgiastate:finnieross,4,90,0,0,1,1,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Dawes, Clay",georgiastate:dawesclay,5,84,0,0,0,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Henderson, Alex",georgiastate:hendersonalex,6,90,0,1,1,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Fearnley, Matthew",georgiastate:fearnleymatthew,10,71,0,0,1,1,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Guest, Justin",georgiastate:guestjustin,15,66,0,1,1,1,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Proctor, George",georgiastate:proctorgeorge,16,90,0,1,1,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Munoz, Ramon",georgiastate:munozramon,21,90,0,0,0,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Luque, Logan",georgiastate:luquelogan,23,65,0,0,0,0,0
sidearm-2020-09-18-Georgia-State-Mercer-University,Georgia State,"Pereyra-Zavala, Victor",georgiastate:pereyrazavalavictor,29,56,0,0,1,1,0
