player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
clemson:smithkimarni,"Smith, Kimarni",Clemson,9,11,849,8,3,31,19,0
georgiastate:briggsaris,"Briggs, Aris",Georgia State,31,13,822,5,3,24,12,0
notredame:lynnjack,"LYNN, JACK",Notre Dame,27,7,506,6,0,22,11,0
georgiastate:fearnleymatthew,"Fearnley, Matthew",Georgia State,10,12,883,5,1,31,19,0
clemson:barbergrayson,"Barber, Grayson",Clemson,11,11,790,2,7,29,12,0
wakeforest:holcombkyle,"Holcomb, Kyle",Wake Forest,3,8,472,5,1,13,9,0
wakeforest:harriscalvin,"Harris, Calvin",Wake Forest,22,8,620,4,2,24,10,0
coastalcarolina:lagemarcelo,"Lage, Marcelo",Coastal Carolina,5,8,617,5,0,11,7,0
pittsburgh:petkovicveljko,"PETKOVIC, VELJKO",Pittsburgh,19,6,484,4,2,11,9,0
pittsburgh:noelvalentin,"Noel, Valentin",Pittsburgh,8,5,452,4,1,13,7,0
coastalcarolina:jonesmarcello,"Jones, Marcello",Coastal Carolina,8,8,408,2,5,6,5,0
georgiastate:proctorgeorge,"Proctor, George",Georgia State,16,13,972,2,4,5,4,0
louisville:fonsecapedro,"Fonseca, Pedro",Louisville,7,8,728,3,2,15,7,0
centralarkansas:jensensoren,"Jensen, Soren",Central Arkansas,7,7,610,3,2,18,13,0
clemson:brightonjames,"Brighton, James",Clemson,25,10,572,4,0,19,13,0
wakeforest:cholmachop,"Chol, Machop",Wake Forest,21,8,507,3,2,17,8,0
georgiastate:guestjustin,"Guest, Justin",Georgia State,15,13,698,2,3,15,7,0
clemson:seyemohamed,"Seye, Mohamed",Clemson,14,6,255,3,1,8,6,0
clemson:fernandezsalvadorluisfelipe,"Fernandez-Salvador, Luis Felipe",Clemson,10,11,817,2,2,14,5,0
notredame:mcfaddenaiden,"MCFADDEN, AIDEN",Notre Dame,10,8,704,1,4,14,5,0
centralarkansas:suarezalberto,"Suarez, Alberto",Central Arkansas,4,7,560,3,0,8,5,0
wakeforest:parenteisaiah,"Parente, Isaiah",Wake Forest,15,7,509,1,4,9,5,0
duke:doranjack,"Doran, Jack",Duke,8,7,469,3,0,10,6,0
louisville:amoelijah,"Amo, Elijah",Louisville,17,8,442,3,0,5,4,0
pittsburgh:jacquessonbertin,"JACQUESSON, BERTIN",Pittsburgh,10,6,419,2,2,11,6,0
wakeforest:wronadavid,"Wrona, David",Wake Forest,13,8,259,3,0,9,7,0
virginiatech:labovitzjacob,"Labovitz, Jacob",Virginia Tech,18,4,188,3,0,13,5,0
army:pereiraoscar,"Pereira, Oscar",Army,10,2,92,2,2,6,4,0
clemson:johnsoncallum,"Johnson, Callum",Clemson,16,11,755,1,3,14,6,0
georgiasouthern:davieadam,"Davie, Adam",Georgia Southern,10,9,752,2,1,8,4,0
louisville:abdikadirhaji,"Abdikadir, Haji",Louisville,4,8,742,1,3,12,5,0
georgiastate:bennettandrew,"Bennett, Andrew",Georgia State,20,13,669,2,1,15,7,0
northcarolina:montesdeocagiovanni,"Montesdeoca, Giovanni",North Carolina,10,7,554,2,1,14,4,0
pittsburgh:dexteralexander,"DEXTER, ALEXANDER",Pittsburgh,13,6,459,1,3,5,4,0
duke:parianonick,"Pariano, Nick",Duke,18,8,458,1,3,5,2,0
kentucky:mabikaaim,"Mabika, Aim?",Kentucky,6,3,270,2,1,4,2,0
coastalcarolina:leivaesteban,"Leiva, Esteban",Coastal Carolina,9,8,249,2,1,7,5,0
georgiastate:hendersonalex,"Henderson, Alex",Georgia State,6,13,1178,1,2,8,4,0
georgiastate:finnieross,"Finnie, Ross",Georgia State,4,13,1024,1,2,6,3,0
georgiastate:luquelogan,"Luque, Logan",Georgia State,23,12,804,2,0,4,2,0
uab:buetejoseph,"Buete, Joseph",UAB,2,7,595,2,0,7,3,0
duke:wrightdaniel,"Wright, Daniel",Duke,7,8,512,2,0,11,2,0
northcarolina:herrerasantiago,"Herrera, Santiago",North Carolina,9,7,432,2,0,9,5,0
georgiastate:hodgejeryn,"Hodge, Jeryn",Georgia State,27,13,429,2,0,5,3,0
syracuse:kerrdeandre,"Kerr, Deandre",Syracuse,7,5,412,2,0,9,4,0
notredame:giacobelloben,"Giacobello, Ben",Notre Dame,26,6,384,1,2,6,3,0
wakeforest:hernandezomar,"Hernandez, Omar",Wake Forest,17,8,371,1,2,4,2,0
