game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2026-01-01-Loyola-Chicago-Green-Bay,2026-01-01,Loyola Chicago,Green Bay,false,false,,,unknown,scheduled,,,,2026-01-01-Green-Bay-Loyola-Chicago,regular
sidearm-2026-01-01-Loyola-Chicago-Northern-Illinois,2026-01-01,Loyola Chicago,Northern Illinois,false,false,,,unknown,scheduled,,,,2026-01-01-Loyola-Chicago-Northern-Illinois,regular
sidearm-2026-01-01-Loyola-Chicago-Milwaukee,2026-01-01,Loyola Chicago,Milwaukee,false,false,,,unknown,scheduled,,,,2026-01-01-Loyola-Chicago-Milwaukee,regular
sidearm-2026-01-01-Loyola-Chicago-DePaul,2026-01-01,Loyola Chicago,DePaul,false,false,,,unknown,scheduled,,,,2026-01-01-DePaul-Loyola-Chicago,regular
sidearm-2026-01-01-Loyola-Chicago-Santa-Clara,2026-01-01,Loyola Chicago,Santa Clara,false,false,,,unknown,scheduled,,,,2026-01-01-Loyola-Chicago-Santa-Clara,regular
sidearm-2026-01-01-Loyola-Chicago-Gonzaga,2026-01-01,Loyola Chicago,Gonzaga,false,false,,,unknown,scheduled,,,,2026-01-01-Gonzaga-Loyola-Chicago,regular
sidearm-2026-01-01-Loyola-Chicago-SIUE,2026-01-01,Loyola Chicago,SIUE,false,false,,,unknown,scheduled,,,,2026-01-01-Loyola-Chicago-SIUE,regular
sidearm-2026-01-01-Loyola-Chicago-UIC,2026-01-01,Loyola Chicago,UIC,false,false,,,unknown,scheduled,,,,2026-01-01-Loyola-Chicago-UIC,regular
sidearm-2026-01-01-Iona-Monmouth,2026-01-01,Iona,Monmouth,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Monmouth,regular
sidearm-2026-01-01-Iona-Seton-Hall,2026-01-01,Iona,Seton Hall,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Seton-Hall,regular
sidearm-2026-01-01-Iona-Syracuse,2026-01-01,Iona,Syracuse,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Syracuse,regular
sidearm-2026-01-01-Iona-Holy-Cross,2026-01-01,Iona,Holy Cross,false,false,,,unknown,scheduled,,,,2026-01-01-Holy-Cross-Iona,regular
sidearm-2026-01-01-Iona-UMass-Lowell,2026-01-01,Iona,UMass Lowell,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-UMass-Lowell,regular
sidearm-2026-01-01-Iona-Saint-Joseph's,2026-01-01,Iona,Saint Joseph's,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Saint-Joseph's,regular
sidearm-2026-01-01-Iona-Canisius,2026-01-01,Iona,Canisius,false,false,,,unknown,scheduled,,,,2026-01-01-Canisius-Iona,regular
sidearm-2026-01-01-Iona-Mount-St.-Mary's,2026-01-01,Iona,Mount St. Mary's,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Mount-St.-Mary's,regular
sidearm-2026-01-01-Iona-Rider,2026-01-01,Iona,Rider University,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Rider-University,regular
sidearm-2026-01-01-Iona-Marist,2026-01-01,Iona,Marist,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Marist,regular
sidearm-2026-01-01-Iona-Sacred-Heart,2026-01-01,Iona,Sacred Heart,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Sacred-Heart,regular
sidearm-2026-01-01-Iona-Merrimack,2026-01-01,Iona,Merrimack College,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Merrimack-College,regular
sidearm-2026-01-01-Iona-Fairfield,2026-01-01,Iona,Fairfield,false,false,,,unknown,scheduled,,,,2026-01-01-Fairfield-Iona,regular
sidearm-2026-01-01-Iona-Niagara,2026-01-01,Iona,Niagara,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Niagara,regular
sidearm-2026-01-01-Iona-Quinnipiac,2026-01-01,Iona,Quinnipiac,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Quinnipiac,regular
sidearm-2026-01-01-Iona-Manhattan,2026-01-01,Iona,Manhattan,false,false,,,unknown,scheduled,,,,2026-01-01-Iona-Manhattan,regular
