game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2016-08-10-Omaha-Black/White-Scrimmage,2016-08-10,Omaha,Black/White Scrimmage,false,false,,,home,scheduled,,,,2016-08-10-Black/White-Scrimmage-Omaha,exhibition
sidearm-2016-08-11-Xavier-Rio-Grande,2016-08-11,Xavier,Rio Grande,false,false,2,0,home,final,,,,2016-08-11-Rio-Grande-Xavier,regular
sidearm-2016-08-12-Winthrop-(exhibition)-North-Carolina,2016-08-12,Winthrop,North Carolina,false,false,,,away,scheduled,,https://winthropeagles.com/boxscore.aspx?id=23965,,2016-08-12-North-Carolina-Winthrop,exhibition
sidearm-2016-08-12-Missouri-State-Northeastern-State,2016-08-12,Missouri State,Northeastern State,false,false,4,0,home,final,,,,2016-08-12-Missouri-State-Northeastern-State,regular
sidearm-2016-08-12-St.-John's-Manhattan-(Exh.),2016-08-12,St. John's,Manhattan,false,false,2,1,home,final,,,,2016-08-12-Manhattan-St.-John's,exhibition
sidearm-2016-08-12-Oregon-State-British-Columbia,2016-08-12,Oregon State,British Columbia,false,false,3,1,home,final,,,,2016-08-12-British-Columbia-Oregon-State,regular
sidearm-2016-08-12-West-Virginia-Gold/Blue-Intrasquad-(Exh.),2016-08-12,West Virginia,Gold/Blue Intrasquad,false,false,,,home,scheduled,,,,2016-08-12-Gold/Blue-Intrasquad-West-Virginia,exhibition
wmt-2016-08-13-Clemson-UAB,2016-08-13,Clemson,UAB,false,false,2,1,home,final,https://clemsontigers.com/sports/mens-soccer/schedule,,,2016-08-13-Clemson-UAB,regular
sidearm-2016-08-13-Memphis-(EX)-Louisville,2016-08-13,Memphis,Louisville,false,false,1,1,away,final,,,,2016-08-13-Louisville-Memphis,exhibition
wmt-2016-08-13-Sacramento-State-Stanford,2016-08-13,Stanford,Sacramento State,false,false,5,0,home,final,https://gostanford.com/sports/mens-soccer/schedule,https://gostanford.com/boxscore.aspx?id=19975,,2016-08-13-Sacramento-State-Stanford,regular
sidearm-2016-08-13-Syracuse-New-Hampshire,2016-08-13,Syracuse,New Hampshire,false,false,,,home,scheduled,,,,2016-08-13-New-Hampshire-Syracuse,regular
