player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
unknown:totals,Totals.........,Unknown,,72,1008,94,72,902,364,0
fgcu:ruizalbert,"Ruiz, Albert",FGCU,11,20,1355,22,5,61,41,0
mercyhurst:derksthom,"Derks, Thom",Mercyhurst,9,21,1821,21,6,105,62,0
maryland:wildgordon,"Wild, Gordon",Maryland,8,22,1545,19,6,80,44,0
vermont:wrightbrian,"Wright, Brian",Vermont,7,21,1722,13,10,68,36,0
lindenwood:dokajxhovani,"Dokaj, Xhovani",Lindenwood,16,18,1420,16,4,61,32,0
unknown:sampalano,Sam Palano,Unknown,10,32,0,12,12,54,30,0
stanford:langsdorffoster,"Langsdorf, Foster",Stanford,2,23,1984,16,2,66,40,0
mercyhurst:gonzalezjorge,"Gonzalez, Jorge",Mercyhurst,11,20,1345,15,4,85,49,0
providence:gresseljulian,"GRESSEL, Julian",Providence,24,19,1678,14,5,78,41,0
fgcu:sobersassuearion,"Sobers-Assue, Arion",FGCU,21,20,1255,11,11,42,19,0
marist:harrcameron,"Harr, Cameron",Marist,10,16,1252,16,1,69,35,0
notredame:jongallagher,Jon Gallagher,Notre Dame,8,20,1590,13,6,80,39,0
templeuniversity:gomezsanchezjorge,"Gomez Sanchez, Jorge",Temple University,9,18,1551,14,3,101,43,0
lemoynecollege:faryarsalar,"Faryar, Salar",Le Moyne College,14,19,1471,14,2,45,29,0
butler:goldsmithdavid,"Goldsmith, David",Butler,20,20,1870,12,4,85,41,0
grandcanyon:jacksonniki,"Jackson, Niki",Grand Canyon,9,18,1379,13,2,67,31,0
maryland:sejdicamar,"Sejdic, Amar",Maryland,10,22,1490,9,9,37,19,0
liberty:mbuyutresor,"Mbuyu, Tresor",Liberty,11,16,1368,9,9,44,28,0
butler:suddicklewis,"Suddick, Lewis",Butler,8,20,1726,11,4,51,25,0
marquette:prpaluka,"Prpa, Luka",Marquette,14,16,1483,10,6,43,19,0
lipscomb:paynterlogan,"PAYNTER, Logan",Lipscomb,22,18,1477,11,4,40,28,0
princeton:seifertgreg,"Seifert, Greg",Princeton,9,17,1385,11,4,67,34,0
louisville:thiawmohamed,"Thiaw, Mohamed",Louisville,10,20,1255,12,2,43,25,0
unknown:ulydelacal,Uly de la Cal,Unknown,9,32,0,6,14,36,14,0
umasslowell:fernandeswuilito,"Fernandes, Wuilito",UMass Lowell,10,14,809,10,5,40,18,0
ucsantabarbara:feuchtkevin,"Feucht, Kevin",UC Santa Barbara,77,20,1833,11,2,44,19,0
creighton:lopezespinricky,"LOPEZ-ESPIN, Ricky",Creighton,7,25,1756,11,2,68,28,0
calstatefullerton:heilmannalex,"Heilmann, Alex",Cal State Fullerton,6,20,1350,11,2,31,19,0
umasslowell:abramovicivan,"Abramovic, Ivan",UMass Lowell,22,14,1001,9,6,34,19,0
vermont:yeboahbernard,"Yeboah, Bernard",Vermont,10,21,1529,10,3,60,30,0
charlotte:bronicobrandt,"Bronico, Brandt",Charlotte,10,18,1507,9,5,49,24,0
californiabaptist:tschaidseluca,"Tschaidse, Luca",California Baptist,21,19,1112,10,3,65,34,0
uic:toddmax,"Todd, Max",UIC,7,20,1658,7,8,66,30,0
michiganstate:sierakowskiryan,"Sierakowski, Ryan",Michigan State,11,19,1637,9,4,50,23,0
wrightstate:ngatchapeguy,"NGATCHA, Peguy",Wright State,9,20,1601,9,4,49,21,0
californiabaptist:apodacaaidan,"Apodaca, Aidan",California Baptist,11,19,957,9,4,62,28,0
stthomas:heydtmark,"Heydt, Mark",St. Thomas,3,22,1989,6,9,40,25,0
creighton:lennonriggs,"LENNON, Riggs",Creighton,9,25,1622,10,1,95,34,0
ucriverside:lomeliromario,"Lomeli, Romario",UC Riverside,10,20,1579,6,9,24,15,0
pennstate:maloneyconnor,"Maloney, Connor",Penn State,5,17,1489,8,5,60,25,0
gardnerwebb:algashamyali,"AL-GASHAMY, Ali",Gardner-Webb,10,16,1356,9,3,36,21,0
utahvalley:hoffmeisterpaul,"Hoffmeister, Paul",Utah Valley,15,18,1046,9,3,33,16,0
centralarkansas:brodackiniklas,"Brodacki, Niklas",Central Arkansas,18,11,972,10,1,33,18,0
newhampshire:arlingchris,"Arling, Chris",New Hampshire,9,13,865,10,1,44,25,0
westernmichigan:byebrandon,"Bye, Brandon",Western Michigan,19,20,1540,8,4,71,34,0
rideruniversity:otmanielliott,"Otmani, Elliott",Rider University,9,18,1511,6,8,59,21,0
michigan:atuahenefrancis,"Atuahene, Francis",Michigan,10,18,1465,8,4,71,31,0
army:eppsrex,"Epps, Rex",Army,9,18,1322,10,0,50,26,0
iona:huertasdaniel,"Huertas, Daniel",Iona,15,16,1301,8,4,72,35,0
pacific:cervantesjulio,"Cervantes, Julio",Pacific,7,18,1299,8,4,37,18,0
davidsoncollege:pragnellmaxi,"Pragnell, Maxi",Davidson College,10,16,1288,9,2,42,20,0
quinnipiac:whelaneamon,"Whelan, Eamon",Quinnipiac,7,17,1166,10,0,28,17,0
utahvalley:milneskyler,"Milne, Skyler",Utah Valley,5,16,962,8,4,39,19,0
uncgreensboro:thomasdamieon,"Thomas, Damieon",UNC Greensboro,7,12,960,7,6,45,24,0
georgiastate:burmeisterhannes,"Burmeister,Hannes",Georgia State,23,13,866,8,4,23,13,0
indiana:thompsontanner,"Thompson, Tanner",Indiana,10,21,1830,8,3,60,26,0
bostoncollege:lewiszeiko,"Lewis, Zeiko",Boston College,10,21,1779,7,5,46,21,0
tulsa:puigmatthew,"Puig, Matthew",Tulsa,7,23,1610,9,1,55,24,0
oralroberts:riverossantiago,"Riveros, Santiago",Oral Roberts,10,17,1556,6,7,51,29,0
georgewashington:heinegarrett,"Heine, Garrett",George Washington,27,17,1360,7,5,40,24,0
harvard:freemanjake,"Freeman,Jake",Harvard,22,15,1342,7,5,32,18,0
uncwilmington:moncadajulio,"Moncada, Julio",UNC Wilmington,9,17,1313,8,3,27,12,0
etsu:fletcherekern,Fletcher Ekern,ETSU,24,14,1163,9,1,33,16,0
uconn:thiamabdou,"THIAM, ABDOU",UConn,11,14,999,8,3,55,24,0
ncstate:duchschererjulius,"Duchscherer, Julius",NC State,16,13,935,8,3,39,20,0
northflorida:nunezadrian,"NUNEZ, Adrian",North Florida,10,14,820,7,5,26,11,0
fordham:loebejannik,"LOEBE, Jannik",Fordham,7,20,1827,6,6,45,15,0
merrimackcollege:sundlars,"Sund, Lars",Merrimack College,19,21,1667,5,8,28,11,0
setonhall:arcilaandres,"Arcila, Andres",Seton Hall,10,17,1435,7,4,47,21,0
lasalle:robinsonmatt,"Robinson, Matt",La Salle,6,18,1417,6,6,32,20,0
rideruniversity:bourretclement,"Bourret, Clement",Rider University,27,18,1368,8,2,48,22,0
rideruniversity:aguinagajose,"Aguinaga, Jose",Rider University,19,17,1329,5,8,31,16,0
bostonuniversity:debonafelix,"De Bona, Felix",Boston University,11,17,1287,8,2,60,20,0
delaware:delgadoguillermo,"Delgado, Guillermo",Delaware,9,15,1266,6,6,42,20,0
bostonuniversity:viterianthony,"Viteri, Anthony",Boston University,14,17,1218,8,2,56,15,0
tulsa:saariray,"Saari, Ray",Tulsa,25,23,1204,6,6,22,15,0
california:thierjungchristian,"Thierjung, Christian",California,6,14,1124,8,2,36,20,0
highpoint:ramsellchris,"RAMSELL, Chris",High Point,16,15,1103,7,4,38,16,0
georgiasouthern:wilsonblake,"Wilson, Blake",Georgia Southern,14,17,1042,8,2,48,23,0
westernillinois:bevanjacob,"Bevan, Jacob",Western Illinois,14,13,1024,8,2,27,17,0
northcarolina:humetucker,"Hume, Tucker",North Carolina,36,13,727,7,4,39,16,0
unknown:christiancordell,Christian Cordell,Unknown,13,32,0,8,2,26,14,0
notredame:brandonaubrey,Brandon Aubrey,Notre Dame,10,20,1878,8,1,30,12,0
fordham:loebejanos,"LOEBE, Janos",Fordham,10,20,1806,6,5,70,33,0
vcu:herranzjorge,"HERRANZ, Jorge",VCU,20,20,1662,6,5,59,22,0
