game_id,team_id,player_name,player_key,jersey_number,minutes,goals,assists,shots,shots_on_goal,saves
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Grodzki, Anthony",hofstra:grodzkianthony,2,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Bona, Joel",hofstra:bonajoel,4,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Benham, Jack",hofstra:benhamjack,6,90,0,1,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Carlman, Bastian",hofstra:carlmanbastian,7,70,1,1,5,4,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"York, James",hofstra:yorkjames,8,90,0,0,3,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Risenhoover, Milo",hofstra:risenhoovermilo,13,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Keane, Sean",hofstra:keanesean,15,55,1,0,1,1,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Santi, Pietro",hofstra:santipietro,16,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Citron, David",hofstra:citrondavid,17,51,0,1,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Schulz, Ben",hofstra:schulzben,23,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Matton, Lewis",hofstra:mattonlewis,31,64,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Poll, Henri",hofstra:pollhenri,20,35,0,0,2,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Perkuhn, Marc",hofstra:perkuhnmarc,21,45,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Ruben, Axel",hofstra:rubenaxel,24,27,0,0,2,1,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Blair, Charlie",hofstra:blaircharlie,25,4,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),Hofstra,"Boone, Ryner",hofstra:booneryner,29,9,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Yerbury, Thomas",liu:yerburythomas,00,90,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Marroni, Gianluca",liu:marronigianluca,4,54,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Permyashkin, Viktor",liu:permyashkinviktor,7,76,0,1,1,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Piela, Kasper",liu:pielakasper,10,76,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Sullivan, Collin",liu:sullivancollin,12,80,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Handzel, Noah",liu:handzelnoah,13,49,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Krumov, David",liu:krumovdavid,15,76,0,0,3,1,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Thomas, Jacob",liu:thomasjacob,20,76,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Coughlin, Nate",liu:coughlinnate,22,76,0,0,1,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Hidalgo, Kiko",liu:hidalgokiko,25,90,0,0,1,1,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Lillis, Mason",liu:lillismason,26,80,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Riddell, Hamish",liu:riddellhamish,2,14,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Walsh, Max",liu:walshmax,5,14,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Elder, Zain",liu:elderzain,8,14,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Findlay, Colin",liu:findlaycolin,9,10,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Newcombe, Gavin",liu:newcombegavin,14,10,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Snyder, Chayse",liu:snyderchayse,16,67,1,0,4,3,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Brokaw, Grant",liu:brokawgrant,18,14,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Whitmire, Cade",liu:whitmirecade,21,10,0,0,0,0,0
sidearm-2024-08-11-Hofstra-LIU-(Scrimmage),LIU,"Heintz, Jack",liu:heintzjack,23,14,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Vargas, Edgar",sandiegostate:vargasedgar,00,45,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Puente, Andre",sandiegostate:puenteandre,4,71,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Matei, Robert",sandiegostate:mateirobert,7,56,1,0,1,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Apolinar, Beto",sandiegostate:apolinarbeto,8,79,0,0,1,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Brummett, Austin",sandiegostate:brummettaustin,10,50,1,1,2,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Okoeguale, Terence",sandiegostate:okoegualeterence,11,55,0,0,4,2,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Pacella, Daniel",sandiegostate:pacelladaniel,13,71,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Viviani, Tristan",sandiegostate:vivianitristan,14,90,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Esquivel, Ulises",sandiegostate:esquivelulises,19,67,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Jaridly, Rommee",sandiegostate:jaridlyrommee,22,66,1,0,1,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Fisher, Reid",sandiegostate:fisherreid,27,90,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Doumbia, Djibril",sandiegostate:doumbiadjibril,1,45,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Florencio Catalá, Ferran",sandiegostate:florenciocatalferran,9,40,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Presto, Dylan",sandiegostate:prestodylan,15,23,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Lucas, Josh",sandiegostate:lucasjosh,17,24,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Longwell, Cody",sandiegostate:longwellcody,18,29,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Anderson, Jules",sandiegostate:andersonjules,23,46,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Hernandez, Lorenzo",sandiegostate:hernandezlorenzo,24,24,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,San Diego State,"Carrillo, Israel",sandiegostate:carrilloisrael,25,19,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Premack, Nolan",ucsandiego:premacknolan,1,90,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Wellerstein, Evan",ucsandiego:wellersteinevan,2,90,0,0,3,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Lin, Matthew",ucsandiego:linmatthew,5,61,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Hillis, Adam",ucsandiego:hillisadam,6,90,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Valverde, Andrew",ucsandiego:valverdeandrew,7,58,1,0,1,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Sellers, Quinn",ucsandiego:sellersquinn,8,81,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Jacobus, Carter",ucsandiego:jacobuscarter,10,45,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Arens, Brian",ucsandiego:arensbrian,11,55,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Kawamura, Jonah",ucsandiego:kawamurajonah,19,82,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Place, Connor",ucsandiego:placeconnor,22,43,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Carvalho, Max",ucsandiego:carvalhomax,23,71,0,1,1,1,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Namdar, Ryan",ucsandiego:namdarryan,9,8,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"McGee, Andrew",ucsandiego:mcgeeandrew,17,43,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Barrett, Cole",ucsandiego:barrettcole,20,36,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Aghaian, Nick",ucsandiego:aghaiannick,24,59,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Oppenheim, Kai",ucsandiego:oppenheimkai,29,46,0,0,1,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Luechauer, Michael",ucsandiego:luechauermichael,31,15,0,0,0,0,0
wmt-2024-08-14-San-Diego-State-UC-San-Diego,UC San Diego,"Brown, Woody",ucsandiego:brownwoody,32,17,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Lemos, Hugo",unlv:lemoshugo,1,90,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Aquino, Lincoln",unlv:aquinolincoln,2,67,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Howard, Brophy",unlv:howardbrophy,4,90,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Craig, Jonah",unlv:craigjonah,6,72,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Hiepen, Louis",unlv:hiepenlouis,8,72,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Merrill, Kai",unlv:merrillkai,11,43,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Lopez, Nico",unlv:lopeznico,15,62,0,0,1,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Vazquez, Manolo",unlv:vazquezmanolo,20,77,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Ware, Tyler",unlv:waretyler,23,77,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Minard, Théo",unlv:minardtho,24,56,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Crisostomo, Sawyer",unlv:crisostomosawyer,26,63,0,0,1,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Gelebart, Lucas",unlv:gelebartlucas,7,49,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Villasenor, Jimi",unlv:villasenorjimi,13,21,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Allred, Bryce",unlv:allredbryce,14,32,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Madrid, Mikah",unlv:madridmikah,16,45,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Hanus, Santi",unlv:hanussanti,18,34,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Lopez, Claudio",unlv:lopezclaudio,19,9,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UNLV,"Sanchez, Gabe",unlv:sanchezgabe,21,31,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Premack, Nolan",ucsandiego:premacknolan,1,90,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Wellerstein, Evan",ucsandiego:wellersteinevan,2,90,0,0,1,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Lin, Matthew",ucsandiego:linmatthew,5,90,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Hillis, Adam",ucsandiego:hillisadam,6,90,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Valverde, Andrew",ucsandiego:valverdeandrew,7,45,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Sellers, Quinn",ucsandiego:sellersquinn,8,72,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Jacobus, Carter",ucsandiego:jacobuscarter,10,84,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Arens, Brian",ucsandiego:arensbrian,11,65,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"McGee, Andrew",ucsandiego:mcgeeandrew,17,70,0,0,1,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Kawamura, Jonah",ucsandiego:kawamurajonah,19,90,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Carvalho, Max",ucsandiego:carvalhomax,23,77,1,0,4,1,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Namdar, Ryan",ucsandiego:namdarryan,9,25,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Barrett, Cole",ucsandiego:barrettcole,20,45,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Place, Connor",ucsandiego:placeconnor,22,45,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Aghaian, Nick",ucsandiego:aghaiannick,24,6,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Oppenheim, Kai",ucsandiego:oppenheimkai,29,16,0,0,0,0,0
sidearm-2024-08-17-UNLV-UC-San-Diego-(Exhibition),UC San Diego,"Brown, Woody",ucsandiego:brownwoody,32,18,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Onrubia Delgado, Gonzalo",mercyhurst:onrubiadelgadogonzalo,1,65,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Kolar, David",mercyhurst:kolardavid,2,76,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Ganser, Mario",mercyhurst:gansermario,4,90,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Sumner, Dylan",mercyhurst:sumnerdylan,8,80,1,0,2,1,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Silva, Alvar",mercyhurst:silvaalvar,11,66,1,0,2,1,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Mrvcic, Ryan",mercyhurst:mrvcicryan,12,69,0,1,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Santos, Luis Felipe",mercyhurst:santosluisfelipe,14,75,0,0,3,1,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Tallada Torres, Jorge",mercyhurst:talladatorresjorge,16,72,0,0,1,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Halehale, Kyle",mercyhurst:halehalekyle,19,74,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Cleary, Callum",mercyhurst:clearycallum,20,75,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Fay, Lockie",mercyhurst:faylockie,21,45,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Tedaldi, Jaime",mercyhurst:tedaldijaime,00,25,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Sanchez, Sergio",mercyhurst:sanchezsergio,6,54,0,0,1,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Gallego, Ignacio",mercyhurst:gallegoignacio,7,13,0,0,1,1,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Lovett, Frank",mercyhurst:lovettfrank,10,10,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Strube, Phillip",mercyhurst:strubephillip,18,14,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Buckley, Ben",mercyhurst:buckleyben,23,10,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Wurstner, Cade",mercyhurst:wurstnercade,28,15,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Conti, Ben",mercyhurst:contiben,34,24,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Kutschbach, Riley",mercyhurst:kutschbachriley,44,14,0,0,0,0,0
sidearm-2024-08-18-Canisius-Mercyhurst-(Exhibition),Mercyhurst,"Morales, Alfredo",mercyhurst:moralesalfredo,58,21,0,0,0,0,0
