player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
akron:jaaskelainenemil,"Jaaskelainen, Emil",Akron,9,21,1714,23,8,92,45,0
fordham:dippolitodaniel,"D'Ippolito, Daniel",Fordham,10,18,1447,14,7,68,35,0
missouristate:bareajesus,"Barea, Jesus",Missouri State,10,18,1382,15,4,81,50,0
ohiostate:adedokunmichael,"Adedokun, Michael",Ohio State,17,22,1856,11,11,83,29,0
kansascity:kisokaelie,"Kisoka, Elie",Kansas City,9,22,1720,12,9,69,26,0
ucsantabarbara:ledouxalexis,"Ledoux, Alexis",UC Santa Barbara,7,22,1643,14,5,56,26,0
westvirginia:orsnavarrosergio,"Ors Navarro, Sergio",West Virginia,20,19,1340,15,3,63,28,0
notredame:rooumatthew,"Roou, Matthew",Notre Dame,21,17,1271,14,4,52,28,0
denver:bassettsam,"Bassett, Sam",Denver,10,23,2008,9,13,53,28,0
oregonstate:solanssergi,"Solans, Sergi",Oregon State,7,18,1187,14,3,41,25,0
drexel:bachsteindominick,"Bachstein, Dominick",Drexel,18,17,1179,12,6,44,24,0
marshall:rodriguesdossantoslineker,"Rodrigues dos Santos, Lineker",Marshall,7,20,1698,12,5,49,23,0
duke:bjornssonulfur,"Bjornsson, Ulfur",Duke,9,19,1338,13,3,50,32,0
smu:sparksbailey,"Sparks, Bailey",SMU,10,21,1803,9,10,49,23,0
dayton:bakkenmartin,"Bakken, Martin",Dayton,7,19,1577,9,10,44,16,0
vermont:baziniyaniv,"Bazini, Yaniv",Vermont,11,19,1503,13,2,59,30,0
cornell:harrisalex,"Harris, Alex",Cornell,9,14,1074,13,2,62,36,0
sanjosestate:iniguezangel,"Iniguez, Angel",San Jose State,10,19,1646,10,7,52,31,0
utahvalley:yehyaomar,"Yehya, Omar",Utah Valley,10,18,1441,12,3,51,22,0
westernmichigan:smithowen,"Smith, Owen",Western Michigan,3,21,1391,6,15,24,14,0
kentucky:dorseylogan,"Dorsey, Logan",Kentucky,12,15,956,12,2,37,23,0
ucdavis:goodmancason,"Goodman, Cason",UC Davis,15,21,1600,11,3,55,30,0
indiana:mihalictommy,"Mihalic, Tommy",Indiana,10,21,1538,10,5,60,19,0
creighton:castrojackson,"Castro, Jackson",Creighton,10,18,1347,9,7,43,19,0
elon:vatnescott,"Vatne, Scott",Elon,8,15,1054,9,7,38,19,0
rideruniversity:diopmomo,"Diop, Momo",Rider University,7,20,1629,10,4,41,23,0
bowlinggreen:terrytrace,"Terry, Trace",Bowling Green,21,16,1329,10,4,53,27,0
penn:korzeniowskistas,"Korzeniowski, Stas",Penn,9,17,1170,11,2,58,30,0
duke:luckhurstadam,"Luckhurst, Adam",Duke,26,19,1160,11,2,41,23,0
seattle:washingtontitus,"Washington, Titus",Seattle,13,20,1110,8,8,34,20,0
wisconsin:boltzdean,"Boltz, Dean",Wisconsin,13,15,1108,10,4,46,23,0
clemson:meinhardalex,"Meinhard, Alex",Clemson,15,22,1628,11,1,47,29,0
wrightstate:werthmullercole,"Werthmuller, Cole",Wright State,9,18,1267,10,3,40,21,0
charleston:dambrosioleonardo,"D'Ambrosio, Leonardo",Charleston,10,17,1235,8,7,47,24,0
westvirginia:caldeiramarcus,"Caldeira, Marcus",West Virginia,7,19,1229,11,1,57,30,0
liberty:hussmichael,"Huss, Michael",Liberty,23,17,823,11,1,37,25,0
dayton:meltoquiahjoseph,"Melto Quiah, Joseph",Dayton,31,19,1622,8,6,87,28,0
clemson:gerbetjoran,"Gerbet, Joran",Clemson,6,20,1604,7,8,33,12,0
bryant:pitarchbayotmarc,"Pitarch Bayot, Marc",Bryant,22,19,1486,9,4,56,24,0
georgiasouthern:holmesryan,"Holmes, Ryan",Georgia Southern,7,17,1247,10,2,50,25,0
newhampshire:goncalvesmatthew,"Goncalves , Matthew",New Hampshire,19,17,1197,10,2,42,24,0
kansascity:kistmannraphael,"Kistmann, Raphael",Kansas City,20,22,1117,8,6,42,23,0
lindenwood:blakeethan,"Blake, Ethan",Lindenwood,3,17,1108,7,8,33,15,0
brown:amarallorenzo,"Amaral, Lorenzo",Brown,7,17,1001,8,6,39,20,0
presbyterian:hutchinsondamorney,"Hutchinson, Damorney",Presbyterian,9,12,870,10,2,49,28,0
hofstra:woznickijacob,"Woznicki, Jacob",Hofstra,21,20,1676,8,5,39,20,0
westernmichigan:mercergreyson,"Mercer, Greyson",Western Michigan,17,21,1603,8,5,44,19,0
oregonstate:farnosarnau,"Farnos, Arnau",Oregon State,11,18,1442,9,3,51,18,0
calstatefullerton:ordonezroberto,"Ordonez, Roberto",Cal State Fullerton,30,20,1345,7,7,40,21,0
louisville:guerragage,"Guerra, Gage",Louisville,9,17,1236,9,3,30,17,0
oralroberts:moraomar,"Mora, Omar",Oral Roberts,23,16,1206,10,1,44,26,0
depaul:hernandeznoeh,"Hernandez, Noeh",DePaul,10,16,1177,7,7,41,13,0
northcarolina:vicianmartin,"Vician, Martin",North Carolina,9,17,1107,10,1,42,24,0
clevelandstate:correiamatteo,"Correia, Matteo",Cleveland State,16,16,1012,9,3,17,10,0
westernmichigan:hodgsoncarson,"Hodgson, Carson",Western Michigan,27,21,1751,6,8,38,18,0
hofstra:goddardlaurie,"Goddard, Laurie",Hofstra,27,19,1319,8,4,55,27,0
sandiego:kanaansamy,"Kanaan, Samy",San Diego,10,19,1267,9,2,46,16,0
highpoint:kruegerbrendan,"Krueger, Brendan",High Point,8,15,1192,6,8,16,9,0
sacramentostate:sessomsdonovan,"Sessoms, Donovan",Sacramento State,21,18,1188,10,0,48,24,0
duke:kerrdrew,"Kerr, Drew",Duke,10,19,1165,5,10,27,9,0
uncgreensboro:okawayoshiya,"Okawa, Yoshiya",UNC Greensboro,23,16,1038,8,4,25,14,0
fau:diarramamadou,"Diarra, Mamadou",FAU,35,14,1008,7,6,30,14,0
delaware:donnellansam,"Donnellan, Sam",Delaware,15,15,948,8,4,23,8,0
umass:hughesalec,"Hughes, Alec",UMass,12,10,767,10,0,36,21,0
southcarolina:myringharrison,"Myring, Harrison",South Carolina,23,11,709,9,2,28,14,0
kansascity:taboadahector,"Taboada, Hector",Kansas City,11,22,685,9,2,34,19,0
wakeforest:flaxcooper,"Flax, Cooper",Wake Forest,18,24,2087,9,1,63,26,0
michigan:blevinsbryce,"Blevins, Bryce",Michigan,11,20,1741,5,9,28,12,0
dayton:sigurdssonhjalti,"Sigurdsson, Hjalti",Dayton,4,19,1681,6,7,30,14,0
iona:gonzalezfernandezsergio,"Gonzalez Fernandez, Sergio",Iona,6,17,1496,8,3,50,25,0
princeton:ittycheriadaniel,"Ittycheria, Daniel",Princeton,11,19,1438,9,1,70,30,0
denver:ofunreinoje,"Ofunrein, Oje",Denver,8,23,1388,9,1,31,14,0
robertmorris:gilleychase,"Gilley, Chase",Robert Morris,7,19,1362,7,5,31,14,0
drexel:shortpatrick,"Short, Patrick",Drexel,16,16,1311,5,9,37,9,0
akron:gaulminvictor,"Gaulmin, Victor",Akron,25,21,1284,5,9,34,12,0
marist:morelrichard,"Morel, Richard",Marist,16,18,1268,8,3,34,19,0
gardnerwebb:khodrielias,"Khodri, Elias",Gardner-Webb,17,20,1164,9,1,51,27,0
pittsburgh:sahmkowluis,"Sahmkow, Luis",Pittsburgh,17,16,1164,8,3,29,18,0
dayton:armstrongandrew,"Armstrong, Andrew",Dayton,22,18,856,8,3,31,17,0
indiana:sarversamuel,"Sarver, Samuel",Indiana,9,21,1633,5,8,47,19,0
akron:clapierdyson,"Clapier, Dyson",Akron,19,21,1586,5,8,52,23,0
ncstate:healytaig,"Healy, Taig",NC State,12,20,1554,6,6,56,21,0
universityofevansville:diazbarragannacho,"Diaz Barragan, Nacho",University of Evansville,20,19,1548,8,2,39,23,0
sandiegostate:brummettaustin,"Brummett, Austin",San Diego State,10,19,1494,6,6,38,20,0
clevelandstate:kolevskibojan,"Kolevski, Bojan",Cleveland State,9,17,1410,6,6,32,15,0
smu:chambronpinhokyran,"Chambron Pinho, Kyran",SMU,7,17,1368,6,6,45,16,0
bostoncollege:ekelandask,"Ekeland, Ask",Boston College,9,17,1343,8,2,34,18,0
mercyhurst:sumnerdylan,"Sumner, Dylan",Mercyhurst,8,15,1335,7,4,47,21,0
georgemason:gondamarek,"Gonda, Marek",George Mason,9,16,1205,8,2,36,19,0
sandiego:bahenacesar,"Bahena, Cesar",San Diego,11,18,1193,8,2,52,25,0
milwaukee:martinezalejandro,"Martinez, Alejandro",Milwaukee,7,16,1181,7,4,33,21,0
houstonchristian:giwamcneilethan,"Giwa-McNeil, Ethan",Houston Christian,10,20,1139,7,4,41,15,0
manhattan:mususebastiano,"Musu, Sebastiano",Manhattan,9,14,1112,6,6,40,11,0
delaware:stennermarius,"Stenner, Marius",Delaware,11,15,1091,7,4,40,17,0
oralroberts:floresluis,"Flores, Luis",Oral Roberts,9,16,1083,7,4,48,18,0
butler:gomezjosemir,"Gomez, Josemir",Butler,9,15,1021,8,2,38,17,0
iona:rossibautista,"Rossi, Bautista",Iona,7,16,994,8,2,42,23,0
duquesne:hopfermaxi,"Hopfer, Maxi",Duquesne,10,17,929,7,4,30,16,0
southcarolina:ballekethan,"Ballek, Ethan",South Carolina,10,12,899,7,4,28,14,0
missouristate:jenningsjames,"Jennings, James",Missouri State,9,18,604,7,4,20,11,0
ohiostate:pechotaluciano,"Pechota, Luciano",Ohio State,11,22,1701,5,7,37,12,0
