game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-California-Radford,2025-01-01,California,Radford,,,6,1,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/radford/boxscore/37906,2025-01-01-California-Radford
sidearm-2025-01-01-California-Virginia-Tech,2025-01-01,California,Virginia Tech,,,2,3,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/virginia-tech/boxscore/37907,2025-01-01-California-Virginia-Tech
sidearm-2025-01-01-California-Stanford,2025-01-01,California,Stanford,,,1,0,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/stanford/boxscore/37908,2025-01-01-California-Stanford
sidearm-2025-01-01-California-Pitt,2025-01-01,California,Pitt,,,1,0,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/pitt/boxscore/38157,2025-01-01-California-Pitt
sidearm-2025-01-01-California-Virginia,2025-01-01,California,Virginia,,,1,2,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/virginia/boxscore/38193,2025-01-01-California-Virginia
sidearm-2025-01-01-California-Unknown-Opponent,2025-01-01,California,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-California-Unknown-Opponent
sidearm-2025-01-01-Duke-Coastal-Carolina,2025-01-01,Duke,Coastal Carolina,,,1,1,unknown,final,,https://goduke.com/news/2025/8/8/mens-soccer-blue-devils-play-to-1-1-draw-at-coastal-carolina,2025-01-01-Coastal-Carolina-Duke
sidearm-2025-01-01-Duke-UNC-Asheville,2025-01-01,Duke,UNC Asheville,,,5,1,unknown,final,,https://goduke.com/news/2025/8/12/mens-soccer-blue-devils-defeat-unc-asheville-5-1-in-preseason-match,2025-01-01-Duke-UNC-Asheville
sidearm-2025-01-01-Duke-James-Madison,2025-01-01,Duke,James Madison,,,3,0,unknown,final,,https://goduke.com/news/2025/8/16/mens-soccer-duke-defeats-james-madison-3-0-in-exhibition-match,2025-01-01-Duke-James-Madison
sidearm-2025-01-01-Duke-San-Diego,2025-01-01,Duke,San Diego,,,2,1,unknown,final,,,2025-01-01-Duke-San-Diego
sidearm-2025-01-01-Duke-UC-San-Diego,2025-01-01,Duke,UC San Diego,,,1,0,unknown,final,,,2025-01-01-Duke-UC-San-Diego
sidearm-2025-01-01-Duke-Furman,2025-01-01,Duke,Furman,,,1,1,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/furman/boxscore/24393,2025-01-01-Duke-Furman
sidearm-2025-01-01-Duke-Georgetown,2025-01-01,Duke,Georgetown,,,2,2,unknown,final,,,2025-01-01-Duke-Georgetown
sidearm-2025-01-01-Duke-Unknown-Opponent,2025-01-01,Duke,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-Duke-Unknown-Opponent
sidearm-2025-01-01-Syracuse-Duke,2025-01-01,Syracuse,Duke,,,0,2,unknown,final,,https://cuse.com/sports/mens-soccer/stats/2025/duke/boxscore/18465,2025-01-01-Duke-Syracuse
sidearm-2025-01-01-Duke-Howard,2025-01-01,Duke,Howard,,,8,0,unknown,final,,,2025-01-01-Duke-Howard
sidearm-2025-01-01-Duke-Louisville,2025-01-01,Duke,Louisville,,,1,0,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/louisville/boxscore/24398,2025-01-01-Duke-Louisville
sidearm-2025-01-01-Duke-Averett,2025-01-01,Duke,Averett,,,10,0,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/averett/boxscore/24399,2025-01-01-Averett-Duke
sidearm-2025-01-01-Duke-Pitt,2025-01-01,Duke,Pitt,,,4,0,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/pitt/boxscore/24400,2025-01-01-Duke-Pitt
sidearm-2025-01-01-Duke-Elon,2025-01-01,Duke,Elon,,,1,1,unknown,final,,,2025-01-01-Duke-Elon
sidearm-2025-01-01-Duke-Clemson,2025-01-01,Duke,Clemson,,,0,3,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/clemson/boxscore/24403,2025-01-01-Clemson-Duke
sidearm-2025-01-01-Duke-Queens,2025-01-01,Duke,Queens,,,0,0,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/queens/boxscore/24404,2025-01-01-Duke-Queens
sidearm-2025-01-01-NC-State-Duke,2025-01-01,NC State,Duke,,,2,0,unknown,final,,,2025-01-01-Duke-NC-State
sidearm-2025-01-01-North-Carolina-Duke,2025-01-01,North Carolina,Duke,,,0,2,unknown,final,,https://goheels.com/sports/mens-soccer/stats/2025/duke/boxscore/26250,2025-01-01-Duke-North-Carolina
