game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key
sidearm-2025-08-10-Stanford-(Exh.)-San-Francisco,2025-08-10,Stanford (Exh.),San Francisco,false,false,,,away,scheduled,,,,2025-08-10-San-Francisco-Stanford-(Exh.)
wmt-2025-08-10-Seattle-U-Trinity-Western,2025-08-10,Seattle U,Trinity Western,false,false,,,home,final,https://goseattleu.com/sports/mens-soccer/schedule,,,2025-08-10-Seattle-U-Trinity-Western
wmt-2025-08-11-UC-Riverside-UCLA,2025-08-11,UCLA,UC Riverside,false,false,,,home,scheduled,https://uclabruins.com/sports/mens-soccer/schedule,,,2025-08-11-UC-Riverside-UCLA
sidearm-2025-08-11-Marshall-Radford-(Exh.),2025-08-11,Marshall,Radford (Exh.),false,false,,,home,scheduled,,,,2025-08-11-Marshall-Radford-(Exh.)
wmt-2025-08-12-Clemson-USC-Upstate,2025-08-12,Clemson,USC-Upstate,false,false,,,home,scheduled,https://clemsontigers.com/sports/mens-soccer/schedule,,,2025-08-12-Clemson-USC-Upstate
sidearm-2025-08-12-UNC-Asheville-Duke,2025-08-12,UNC Asheville,Duke,false,false,1,5,away,final,,,,2025-08-12-Duke-UNC-Asheville
wmt-2025-08-12-Cal-State-Bakersfield-Stanford,2025-08-12,Stanford,Cal State Bakersfield,false,false,2,1,home,final,https://gostanford.com/sports/mens-soccer/schedule,,,2025-08-12-Cal-State-Bakersfield-Stanford
sidearm-2025-08-12-Syracuse-Mercyhurst,2025-08-12,Syracuse,Mercyhurst,false,false,4,1,home,final,,,,2025-08-12-Mercyhurst-Syracuse
sidearm-2025-08-12-Purdue-Fort-Wayne-(Ex.)-Michigan,2025-08-12,Purdue Fort Wayne (Ex.),Michigan,false,false,,,away,scheduled,,,,2025-08-12-Michigan-Purdue-Fort-Wayne-(Ex.)
sidearm-2025-08-12-Wisconsin-St.-Thomas-(Exhibition),2025-08-12,Wisconsin,St. Thomas,false,false,,,home,scheduled,,,,2025-08-12-St.-Thomas-Wisconsin
sidearm-2025-08-12-Georgia-State-Presbyterian-(Exhib.),2025-08-12,Georgia State,Presbyterian (Exhib.),false,false,,,unknown,scheduled,,,,2025-08-12-Georgia-State-Presbyterian-(Exhib.)
sidearm-2025-08-12-West-Virginia-Montgomery-College-(Exh.),2025-08-12,West Virginia,Montgomery College (Exh.),false,false,,,home,scheduled,,,,2025-08-12-Montgomery-College-(Exh.)-West-Virginia
