game_id,team_id,player_name,player_key,jersey_number,minutes,goals,assists,shots,shots_on_goal,saves
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Donovan, Patrick",bostoncollege:donovanpatrick,1,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Seidel, Leo",bostoncollege:seidelleo,13,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Helias, Marius",bostoncollege:heliasmarius,33,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Copeland-Del Toro, Bryce",bostoncollege:copelanddeltorobryce,34,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Borak, Andrej",bostoncollege:borakandrej,35,90,0,0,0,0,1
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Reddy, Patrick",bostoncollege:reddypatrick,2,30,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Bejar, Christian",bostoncollege:bejarchristian,3,82,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Gundelach, Moritz",bostoncollege:gundelachmoritz,4,70,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Henze, Fynn",bostoncollege:henzefynn,5,20,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Toro, Bryan",bostoncollege:torobryan,6,64,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Ekeland, Ask",bostoncollege:ekelandask,7,76,0,1,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Abdul-Malak, Ziad",bostoncollege:abdulmalakziad,8,41,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Rojel, Nikolai",bostoncollege:rojelnikolai,9,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Martinsen-Wold, Sander",bostoncollege:martinsenwoldsander,10,33,0,0,3,1,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Karalis, Alexi",bostoncollege:karalisalexi,12,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Asare, Michael",bostoncollege:asaremichael,14,60,0,0,2,2,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Killeen, Marci",bostoncollege:killeenmarci,16,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Brown, Russell",bostoncollege:brownrussell,17,30,0,0,2,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Andrews, Max",bostoncollege:andrewsmax,18,90,0,0,1,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Gibson, Connor",bostoncollege:gibsonconnor,19,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Shevchenko-Rogers, Mitchell",bostoncollege:shevchenkorogersmitchell,20,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Almendares, Erick",bostoncollege:almendareserick,22,26,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Burkhardt, Jack",bostoncollege:burkhardtjack,23,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Galluzzo, Devon",bostoncollege:galluzzodevon,24,8,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Williams, CJ",bostoncollege:williamscj,25,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Wassarman, Henry",bostoncollege:wassarmanhenry,26,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Race, Harald",bostoncollege:raceharald,27,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Richmond, Watts",bostoncollege:richmondwatts,28,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Mafong, Dylan",bostoncollege:mafongdylan,29,21,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Odhiambo, Simba",bostoncollege:odhiambosimba,30,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Farwell, Aidan",bostoncollege:farwellaidan,32,28,0,0,1,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Boston College,"Hanken Tjostheim, Johannes",bostoncollege:hankentjostheimjohannes,77,41,1,0,2,1,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Root, Jack",binghamton:rootjack,1,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Shannon, Daniel",binghamton:shannondaniel,31,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Cresswell, Connor",binghamton:cresswellconnor,32,90,0,0,0,0,3
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Tilgner, Ramsey",binghamton:tilgnerramsey,2,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Onwumere, Rio",binghamton:onwumererio,3,64,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Yates, Luke",binghamton:yatesluke,4,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Knuewe, Simon",binghamton:knuewesimon,6,80,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Howell, Jamie",binghamton:howelljamie,7,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Levisman, Itai",binghamton:levismanitai,8,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"harris, kevaughn",binghamton:harriskevaughn,9,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Cohen, Tom",binghamton:cohentom,10,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Moe, Calvin",binghamton:moecalvin,11,90,0,0,2,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Balkey, Alex",binghamton:balkeyalex,12,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Thomas, Cailen",binghamton:thomascailen,13,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Randazzo, Anthony",binghamton:randazzoanthony,14,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Bonuito, Zachary",binghamton:bonuitozachary,15,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Cox, Jasper",binghamton:coxjasper,16,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Tulloch, Dmitri",binghamton:tullochdmitri,17,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Topp, Henry",binghamton:topphenry,18,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Constante, Lucas",binghamton:constantelucas,19,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Conti, Ryan",binghamton:contiryan,20,90,0,0,1,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Egan, Gaven",binghamton:egangaven,21,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Mahoney, Will",binghamton:mahoneywill,22,90,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Gillon, Ryan",binghamton:gillonryan,23,10,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Megliola, D.T.",binghamton:meglioladt,25,90,0,0,1,1,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Nahim, Marcus",binghamton:nahimmarcus,27,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Church, Benjamin",binghamton:churchbenjamin,28,0,0,0,0,0,0
sidearm-2025-08-21-Boston-College-Binghamton,Binghamton,"Almoznino, Saar",binghamton:almozninosaar,5,26,0,0,0,0,0
sidearm-2025-08-21-California-Saint-Mary's,CAL,"Nishimura, Gaku",cal:nishimuragaku,6,90,0,0,2,1,0
sidearm-2025-08-21-California-Saint-Mary's,CAL,"Lukic, Luka",cal:lukicluka,7,90,2,0,5,2,0
