player_key,player_name,team_id,jersey_number,games_played,minutes,goals,assists,shots,shots_on_goal,saves
westernmichigan:sharpcharlie,"Sharp, Charlie",Western Michigan,25,20,1618,19,8,80,37,0
hofstra:carmichaelryan,"Carmichael, Ryan",Hofstra,18,21,1819,17,5,65,31,0
oregonstate:farringtonlogan,"Farrington, Logan",Oregon State,7,22,1734,15,7,80,40,0
westernmichigan:singdylan,"Sing, Dylan",Western Michigan,6,22,1876,15,6,58,33,0
clemson:syllaousmane,"Sylla, Ousmane",Clemson,10,23,1708,13,10,42,24,0
memphis:rodriguesdossantoslineker,"Rodrigues dos Santos, Lineker",Memphis,11,19,1554,14,5,60,31,0
akron:shokalookjason,"Shokalook, Jason",Akron,9,17,1359,14,5,79,39,0
smu:dallmannjelldrik,"Dallmann, Jelldrik",SMU,27,19,1285,14,5,49,26,0
duke:ajagoforster,"Ajago, Forster",Duke,21,18,1373,14,4,69,28,0
oralroberts:floresluis,"Flores, Luis",Oral Roberts,20,17,1199,15,2,69,38,0
iona:azzamruizcamil,"Azzam Ruiz, Camil",Iona,23,15,1075,14,4,75,44,0
mercyhurst:sumnerdylan,"Sumner, Dylan",Mercyhurst,8,16,1402,14,3,78,40,0
marshall:bellmatthew,"Bell, Matthew",Marshall,10,19,1384,10,11,55,20,0
lipscomb:spicertyrese,"Spicer, Tyrese",Lipscomb,16,17,1118,14,3,59,31,0
hofstra:goldthorpeliot,"Goldthorp, Eliot",Hofstra,37,21,1508,8,14,66,25,0
rideruniversity:dienebabacar,"Diene, Babacar",Rider University,9,19,1479,13,3,56,28,0
stjohns:fleuriauchateaunicolas,"Fleuriau Chateau, Nicolas",St. John's,9,17,833,14,1,53,27,0
californiabaptist:muellerluis,"Mueller, Luis",California Baptist,07,20,1662,12,4,83,38,0
westvirginia:tsukadayutaro,"Tsukada, Yutaro",West Virginia,17,20,1440,10,8,75,33,0
bryant:pitarchbayotmarc,"Pitarch Bayot, Marc",Bryant,22,19,1311,11,6,32,20,0
cornell:harrisalex,"Harris, Alex",Cornell,29,15,1143,12,4,54,29,0
calstatefullerton:ordonezroberto,"Ordonez, Roberto",Cal State Fullerton,14,18,1110,9,10,37,13,0
seattle:morrisjames,"Morris, James",Seattle,11,20,1612,10,7,67,23,0
stanford:bohanezach,"Bohane, Zach",Stanford,10,20,1544,8,11,50,21,0
northcarolina:huermanquenzi,"Huerman, Quenzi",North Carolina,11,22,1468,10,7,57,24,0
duquesne:ekelandask,"Ekeland, Ask",Duquesne,17,18,1327,12,3,50,23,0
georgetown:murrelljacob,"Murrell, Jacob",Georgetown,18,17,1203,11,4,35,19,0
monmouth:zakowskiben,"Zakowski, Ben",Monmouth,7,17,1553,12,1,62,31,0
furman:krauschristian,"Kraus, Christian",Furman,22,19,1416,10,5,60,26,0
liu:jaaskelainenemil,"Jaaskelainen, Emil",LIU,9,13,1112,11,3,69,30,0
pennstate:mangionepeter,"Mangione, Peter",Penn State,8,19,1628,10,4,47,22,0
delaware:donnellansam,"Donnellan, Sam",Delaware,15,19,1417,10,4,40,21,0
stanford:defloresshane,"de Flores, Shane",Stanford,13,21,1388,8,8,46,20,0
umbc:calheirataylor,"Calheira, Taylor",UMBC,15,16,1373,10,4,60,28,0
duke:bjornssonulfur,"Bjornsson, Ulfur",Duke,9,18,1270,10,4,46,19,0
jamesmadison:roblesrodrigo,"Robles, Rodrigo",James Madison,9,20,1083,9,6,38,18,0
uic:munsbart,"Muns, Bart",UIC,14,20,1634,8,7,62,24,0
notredame:rooumatthew,"Roou, Matthew",Notre Dame,21,21,1453,10,3,39,23,0
stetson:laraluis,"Lara, Luis",Stetson,7,18,1400,10,3,52,18,0
merrimackcollege:goddardlaurie,"Goddard, Laurie",Merrimack College,9,16,1352,10,3,49,27,0
purduefortwayne:mahlmeisterseth,"Mahlmeister, Seth",Purdue Fort Wayne,9,17,1348,10,3,56,31,0
vermont:baziniyaniv,"Bazini, Yaniv",Vermont,11,17,1306,10,3,53,27,0
sandiego:tunbridgemason,"Tunbridge, Mason",San Diego,10,18,1087,7,9,43,18,0
notredame:ntoeno,"Nto, Eno",Notre Dame,9,22,1071,11,1,37,21,0
denver:ofunreinoje,"Ofunrein , Oje",Denver,8,18,1069,11,1,32,18,0
indiana:sarversamuel,"Sarver, Samuel",Indiana,9,24,1893,8,6,51,20,0
westernmichigan:hodgsoncarson,"Hodgson, Carson",Western Michigan,27,22,1705,6,10,42,22,0
northcarolina:vicianmartin,"Vician, Martin",North Carolina,9,22,1542,10,2,59,27,0
fiu:mustreeduardo,"Mustre, Eduardo",FIU,9,18,1420,10,2,56,32,0
stonehillcollege:woznickijacob,"Woznicki, Jacob",Stonehill College,9,16,1318,9,4,43,23,0
bostonuniversity:roseneitan,"Rosen, Eitan",Boston University,21,20,1166,10,2,50,18,0
pacific:roquederick,"Roque, Derick",Pacific,11,17,1345,9,3,38,16,0
wofford:rojelnikolai,"Rojel, Nikolai",Wofford,9,16,1331,10,1,42,19,0
dayton:mbomademkenji,"Mboma Dem, Kenji",Dayton,10,15,1330,9,3,76,34,0
louisville:barkerjohndamien,"Barker John, Damien",Louisville,11,21,1320,9,3,40,24,0
marshall:simonpablo,"Simon, Pablo",Marshall,11,18,1293,7,7,28,13,0
providence:mcsorleybrendan,"McSorley, Brendan",Providence,9,16,1260,10,1,41,21,0
